Accession,UniProt_202402_IsEnzyme,ECRECer_IsEnzyme,CLEAN_IsEnzyme,FEDKEA_v3_IsEnzyme
Q8VHG5,0,0,1,0
Q8ZM00,0,0,1,0
Q9D350,0,0,1,0
Q9DBK7,1,0,1,1
Q9FCY7,0,0,1,1
Q9I6G4,0,0,1,0
Q9I6H1,0,0,1,0
Q9LIF4,1,1,1,1
Q9LVM3,0,1,1,1
Q9P8G2,0,0,1,0
Q9V3Y0,0,0,1,0
Q9VDE4,0,0,1,0
Q9VLK8,0,0,1,0
Q9VZL5,0,0,1,0
Q9ZIT6,1,1,1,1
A0A087WRU1,0,0,1,0
A0A0K0VEZ4,1,1,1,1
A0A0K0VF36,1,0,1,1
A0A1C8HPQ3,0,0,1,0
A0A1D8PCD3,0,0,1,0
A0A1D8PDP8,0,0,1,0
A0A1D8PFP9,0,0,1,0
A0A1D8PJT8,0,0,1,0
A0A1L8GWK2,0,0,1,0
A0A1L8H0H2,0,0,1,0
A0A2H0ZCS5,0,0,1,0
A0A2H0ZJA8,0,0,1,0
A0A2H0ZNJ6,0,0,1,0
A0A2H1A5W4,0,0,1,0
A0A2I2F2J4,1,1,1,1
A0A2I2F2J6,1,0,1,1
A0A2I2F2J7,1,1,1,1
A0A2I2F2K6,1,1,1,1
A0A2I2F2K7,1,1,1,1
A0A2I2F2K8,1,0,1,1
A0A2I2F2L0,1,1,1,1
A0A2I2F2M2,1,1,1,1
A0A2I2F2Q7,1,1,1,1
A0A2J6RX17,1,1,1,1
A0A2K8FTN3,1,1,1,1
A0A3G2S8R6,1,1,1,1
A0A509AER3,0,0,1,0
A0A509AN56,1,0,1,0
A0A509ANY8,0,0,1,0
A0A509AT60,0,0,1,0
A0A5K1K8Y8,0,0,1,0
A0A644F649,0,0,1,0
A0A6G9KHE4,0,0,1,0
A0A728KSL7,1,1,1,1
A0A8M1N5Y4,1,1,1,1
A0A8R9YVA6,1,1,1,1
A0A8R9YZM7,1,1,1,1
A0A8R9Z3C6,1,0,1,1
A0A976SLN7,0,0,1,0
A0A976XJR9,0,0,1,0
A0A9P5GG56,1,1,1,1
A8B296,0,0,1,0
A8B976,0,0,1,0
A8BE61,0,0,1,0
A8BIQ0,0,0,1,0
A8BS40,0,0,1,0
A8PUY3,1,1,1,1
A8PUY7,1,1,1,1
A8PX35,1,1,1,1
A8PX55,1,0,1,1
A8Q9M3,1,1,1,1
A8QB34,1,1,1,1
A8QCV4,1,1,1,1
A8QCV7,1,1,1,1
A8QDF0,1,1,1,1
B2J6D9,0,0,1,0
B5T072,1,1,1,1
B6H997,1,1,1,1
B6H999,1,1,1,1
B9Q1V7,0,0,1,0
C0HM44,0,0,1,0
C0HM72,0,0,1,0
C0HM73,0,0,1,0
C0HM74,0,0,1,0
C0HM75,0,0,1,0
C0HM76,0,0,1,0
C0HM77,0,0,1,0
C0HM78,0,0,1,0
C0HM96,0,0,1,0
C0HM98,0,0,1,0
D5GSK5,0,0,1,1
D5LJN4,1,0,1,0
D9N4H3,1,1,1,1
D9N4H4,1,1,1,1
E1CJK0,1,1,1,1
E1CJK1,1,1,1,1
E1CJK2,1,1,1,1
E2ITZ3,0,0,1,0
E9PXV9,0,0,1,0
F0NEL5,1,1,1,1
F2Z3Y9,0,0,1,0
F8VPU6,1,1,1,0
G0RY74,0,0,1,0
G0RYE9,0,0,1,0
G0RZB3,0,0,1,0
G0S0N0,0,0,1,0
G0S2K4,0,0,1,0
G0S8F9,0,0,1,0
G3X9U1,0,0,1,0
I1RCD3,1,1,1,1
I1RDA9,1,1,1,1
I1RHF8,1,1,1,1
I1RIF1,1,1,1,1
I1RLL3,1,1,1,1
O23234,1,1,1,1
O87333,1,1,1,1
P0DRB0,0,0,1,0
P0DRB1,0,0,1,0
P0DRB2,0,0,1,0
P0DRB5,0,0,1,0
P0DRB6,0,0,1,0
P0DRB7,0,0,1,0
P0DRB9,0,0,1,0
P0DRC0,0,0,1,0
P0DRC1,0,0,1,0
P0DRC2,0,0,1,0
P0DRC3,0,0,1,0
P0DRC4,0,0,1,0
P0DW67,1,1,1,1
P0DW70,1,1,1,0
P0DX55,0,0,1,0
P0DX56,0,0,1,0
P0DX57,0,0,1,0
P0DX58,0,0,1,0
P0DX60,0,0,1,0
P0DX61,0,0,1,0
P0DX63,0,0,1,0
P0DX64,0,0,1,0
P0DX80,1,1,1,1
P0DX88,1,1,1,1
P9WEM7,1,1,1,1
Q0P9A8,1,1,1,1
Q25799,0,0,1,0
Q3UJB0,0,0,1,0
Q47594,1,1,1,1
Q47595,1,1,1,1
Q4D321,1,1,1,1
Q4D5J7,1,1,1,1
Q4DHY2,1,1,1,1
Q4DHY3,1,1,1,1
Q4DUK4,1,1,1,1
Q4DUK7,1,1,1,1
Q4Q5G6,1,1,1,1
Q4QJ85,1,1,1,1
Q5A5P7,0,0,1,0
Q5AHZ2,0,0,1,0
Q5AMH1,0,0,1,0
Q6PBS3,1,1,1,1
Q6UAV6,1,1,1,1
Q7R7U6,0,0,1,0
Q7VNA4,1,1,1,1
Q89Y81,1,1,1,1
Q8CY84,0,0,1,0
Q8DN86,0,0,1,0
Q8DN89,0,0,1,0
Q8DN90,0,0,1,0
Q8I2T9,0,0,1,0
Q8I3N6,0,0,1,0
Q8IIW9,0,0,1,0
Q8IJK4,1,0,1,1
Q8ISM1,0,0,1,0
Q8LPU1,0,0,1,0
Q8NQU2,0,0,1,0
Q8NQU3,0,0,1,0
Q8NQU4,1,0,1,1
Q8VQ46,1,1,1,1
Q8YS57,0,0,1,0
Q8YT25,0,0,1,0
Q8YVP4,0,0,1,0
Q91QS4,0,0,1,0
Q9HE20,1,1,1,1
Q9HUF5,1,1,1,1
Q9P451,1,1,1,1
Q9VWB1,0,0,1,0
W8X5L3,0,0,1,0
A0A146B130,0,0,1,0
A0A1C8HQ06,0,0,1,0
A0A1C8HSP0,0,0,1,0
A0A1X7TVA9,1,1,1,0
A0A2I2F2M7,1,0,1,0
A0A2K8FTP3,0,0,1,0
A0A509AKQ7,0,0,1,0
A0A509AQJ1,0,0,1,0
A0A644F0T7,0,0,1,0
A0A8R9Z5V5,1,1,1,1
A0A8U0LTF0,0,0,1,0
A0A8U0LTF5,0,0,1,0
A0A8U0LTY4,0,0,1,0
A0A976XK90,0,0,1,0
A0A976XKR0,0,0,1,0
A0A9P5GH02,1,1,1,1
A8B1U4,0,0,1,0
A8B5V9,0,0,1,0
A8B9C5,0,0,1,0
A8B9P2,0,0,1,0
A8BAF1,0,0,1,0
A8BER9,0,0,1,0
A8BGV3,0,0,1,0
A8BJ15,0,0,1,0
A8BJ87,0,0,1,0
B6H998,0,0,1,0
C0HLN1,0,0,1,0
C0HM61,0,0,1,0
C0HM80,0,0,1,0
C0HM97,0,0,1,0
C0HMA1,0,0,1,0
C0HMA2,0,0,1,0
D4AD75,1,1,1,1
J9RWN8,0,0,1,0
P0DRB3,0,0,1,0
P0DRB4,0,0,1,0
P0DW68,1,1,1,1
P0DW69,0,0,1,0
P0DW71,1,0,1,0
P0DX52,0,0,1,0
P0DX53,0,0,1,0
P0DX59,0,0,1,0
P0DX62,1,1,1,1
P0DX65,0,0,1,0
P0DX66,1,1,1,1
P0DX67,0,0,1,0
P0DX68,0,0,1,0
P0DX69,1,0,1,1
P0DX70,0,0,1,0
P0DX71,1,1,1,1
P0DX72,0,0,1,0
P0DX73,1,0,1,0
P0DX74,0,0,1,0
P0DX75,1,1,1,1
P0DX77,1,0,1,1
P0DX78,0,0,1,0
P0DX79,0,0,1,0
P0DX81,0,0,1,0
P0DX89,0,0,1,0
P74433,0,0,1,0
P9WEM4,0,0,1,0
Q4J8K8,1,0,1,0
Q4WDK4,0,0,1,0
Q4WE50,0,0,1,0
Q5A995,0,0,1,0
Q5AEI1,0,0,1,0
Q6UAX6,0,0,1,0
Q8VZU4,0,0,1,0
Q8W5V1,1,1,1,1
Q9LC67,1,1,1,1
Q9NFZ1,0,0,1,0
V9GWY9,0,0,1,0
W8X9R5,1,1,1,1
A0A410N6V5,0,0,1,0
A0A8V8TNH8,0,0,1,0
A0A8V8TPE2,0,0,1,0
C0HM84,0,0,1,0
C0HM85,0,0,1,0
C0HM86,0,0,1,0
C0HM87,0,0,1,0
C0HM88,0,0,1,0
C0HM89,0,0,1,0
C0HM90,0,0,1,0
C0HM91,0,0,1,0
C0HM92,0,0,1,0
C0HM93,0,0,1,0
C0HM94,0,0,1,0
C0HM95,0,0,1,0
