Accession,First,FirstProbability,Second,SecondProbability,Third,ThirdProbability,Fourth,FourthProbability,FinalResult
WP_066578896,1,0.9997848868370056,2,0.7371137738227844,1.2.1.26,1.0,0,0.0,1.2.1.26
WP_012434437,1,0.9998074173927307,2,0.5559996366500854,1.2.1.50,0.6657323940863503,0,0.0,1.2.1.50
WP_063341556,1,0.9991003274917603,2,0.7381584644317627,1.2.1.60,0.3398844882126548,0,0.0,1.2.1.60
WP_010213153,1,0.9992663264274597,2,0.7021626830101013,1.2.1.92,0.34533933977269604,0,0.0,1.2.1.92
WP_010210411,1,0.998766303062439,3,0.771938145160675,1.3.1.108,0.33590097426513665,0,0.0,1.3.1.108
WP_054597490,1,0.9990291595458984,3,0.7842267751693726,1.3.1.108,0.3438255299153742,0,0.0,1.3.1.108
WP_057714718,1,0.9992401599884033,3,0.8173637986183167,1.3.1.108,0.345390989241201,0,0.0,1.3.1.108
WP_063321224,1,0.9981630444526672,3,0.7942003011703491,1.3.1.108,0.34175160541219385,0,0.0,1.3.1.108
WP_010210413,1,0.9991987347602844,3,0.8006464838981628,1.3.1.108,0.3476171796100777,0,0.0,1.3.1.108
WP_015277229,1,0.998930037021637,3,0.8031705617904663,1.3.1.108,0.3399738988895859,0,0.0,1.3.1.108
WP_015277224,1,0.9993584752082825,3,0.8127518892288208,1.3.1.108,0.34924932058389024,0,0.0,1.3.1.108
WP_054597488,1,0.9992477893829346,3,0.8230755925178528,1.3.1.108,0.3508704761541848,0,0.0,1.3.1.108
NP_384884,1,0.9930874705314636,3,0.27294883131980896,1.3.1.98,1.0,0,0.0,1.3.1.98
WP_015278496,1,0.9986868500709534,3,0.19118806719779968,1.3.1.98,1.0,0,0.0,1.3.1.98
WP_014881126,1,0.9841850996017456,3,0.2158639132976532,1.3.1.98,1.0,0,0.0,1.3.1.98
WP_043349427,1,0.9997056126594543,3,0.22910356521606445,1.3.1.98,1.0,0,0.0,1.3.1.98
WP_060740336,1,0.9954724907875061,3,0.5956710577011108,1.3.8.1,0.7507790888760183,0,0.0,1.3.8.1
WP_060740332,1,0.9984148740768433,3,0.6430943012237549,1.3.8.1,0.7661647782833428,0,0.0,1.3.8.1
WP_054594340,1,0.995206892490387,3,0.5950807332992554,1.3.8.1,0.752699502947015,0,0.0,1.3.8.1
WP_015275423,1,0.9988418221473694,3,0.6658343076705933,1.3.8.1,0.7694076658718634,0,0.0,1.3.8.1
WP_010207016,1,0.9983487129211426,3,0.6401166319847107,1.3.8.1,0.7621541197221737,0,0.0,1.3.8.1
WP_014239822,1,0.9990623593330383,3,0.5947847962379456,1.3.8.1,0.7321643575570369,0,0.0,1.3.8.1
WP_010207013,1,0.9964784979820251,3,0.5752035975456238,1.3.8.1,0.7537064593462228,0,0.0,1.3.8.1
WP_012431722,1,0.9989697933197021,3,0.5171155333518982,1.3.8.1,0.7355613270666017,0,0.0,1.3.8.1
WP_041645374,1,0.9979872703552246,3,0.6697714924812317,1.3.8.1,0.759604391292175,0,0.0,1.3.8.1
WP_014235627,1,0.6601257920265198,13,0.8665195107460022,1.13.11.27,1.0,0,0.0,1.13.11.27
WP_060740344,1,0.9997877478599548,13,0.4115123152732849,1.13.12.3,1.0,0,0.0,1.13.12.3
NP_387397,2,0.9998809099197388,6,0.9642437100410461,2.6.1.1,0.6710572443056748,0,0.0,2.6.1.1
WP_010208316,2,0.9996585845947266,6,0.9607632160186768,2.6.1.11,1.0,0,0.0,2.6.1.11
WP_063323898,2,0.9986905455589294,6,0.9803320169448853,2.6.1.119,0.6731319841253495,0,0.0,2.6.1.119
WP_011760751,2,0.9990677237510681,6,0.9851663708686829,2.6.1.119,0.685584269898196,0,0.0,2.6.1.119
WP_010207340,2,0.9988491535186768,6,0.9822731614112854,2.6.1.119,0.6737458798035101,0,0.0,2.6.1.119
WP_054594536,2,0.9985615611076355,6,0.9774686098098755,2.6.1.119,0.6744470877205664,0,0.0,2.6.1.119
WP_060740156,2,0.9987446069717407,6,0.980245053768158,2.6.1.119,0.6745311532584668,0,0.0,2.6.1.119
WP_012426549,2,0.9982043504714966,6,0.9789232611656189,2.6.1.18,0.6821525716797745,0,0.0,2.6.1.18
WP_060739768,2,0.9956662654876709,6,0.961871325969696,2.6.1.48,0.6661413543401052,0,0.0,2.6.1.48
WP_014576347,2,0.997766375541687,6,0.9412416219711304,2.6.1.5,0.6682701357532592,0,0.0,2.6.1.5
WP_057715924,2,0.9972805976867676,6,0.9186562895774841,2.6.1.57,0.3455139630180205,0,0.0,2.6.1.57
WP_063322430,2,0.9964480400085449,6,0.932870626449585,2.6.1.57,0.6724461339059244,0,0.0,2.6.1.57
WP_015275719,2,0.9665329456329346,6,0.9265081882476807,2.6.1.57,0.3634187324693243,0,0.0,2.6.1.57
WP_054596267,2,0.9974330067634583,6,0.9201458096504211,2.6.1.57,0.3429365794440189,0,0.0,2.6.1.57
WP_085966746,4,0.9962043166160583,0,0.4756493866443634,4.4.1.24,0.7564956315839115,0,0.0,4.4.1.24
WP_012428706,4,0.9738458395004272,0,0.649452805519104,4.4.1.24,0.4171031119123867,0,0.0,4.4.1.24
WP_015278222,5,0.3722519874572754,0,0.30671507120132446,5.5.1.25,0.33816416820845396,0,0.0,5.5.1.25
NP_384733,5,0.9992724061012268,3,0.6257256269454956,5.3.1.5,1.0,0,0.0,5.3.1.5
WP_043352074,6,0.9990406632423401,2,0.9538789391517639,6.2.1.25,0.3368690110102189,0,0.0,6.2.1.25
