Accession,First,FirstProbability,Second,SecondProbability,Third,ThirdProbability,Fourth,FourthProbability,FinalResult,accepted_name,other_names
A0A509AF62,2,0.9976947903633118,8,0.9240297079086304,1,0.9212310314178468,2.8.1.7,1.0,2.8.1.7,cysteine desulfurase,IscS; NIFS; NifS; SufS; cysteine desulfurylase
A0A2K8FTN3,2,0.996877670288086,8,0.9864614605903624,1,0.8556928038597107,2.8.1.7,1.0,2.8.1.7,cysteine desulfurase,IscS; NIFS; NifS; SufS; cysteine desulfurylase
Q8IBT4,2,0.9968878626823424,8,0.944244623184204,1,0.8572232723236084,2.8.1.7,1.0,2.8.1.7,cysteine desulfurase,IscS; NIFS; NifS; SufS; cysteine desulfurylase
I1RIF1,3,0.9988412261009216,1,0.6700127124786377,1,0.9891449809074402,3.1.1.42,1.0,3.1.1.42,chlorogenate hydrolase,chlorogenase; chlorogenic acid esterase
I1RHF8,3,0.9989481568336488,1,0.7982152700424194,1,0.9950050711631776,3.1.1.3,1.0,3.1.1.3,triacylglycerol lipase,lipase (ambiguous); butyrinase; tributyrinase; Tween hydrolase; steapsin; triacetinase; tributyrin esterase; Tweenase; amno N-AP; Takedo 1969-4-9; Meito MY 30; Tweenesterase; GA 56; capalase L; triglyceride hydrolase; triolein hydrolase; tween-hydrolyzing esterase; amano CE; cacordase; triglyceridase; triacylglycerol ester hydrolase; amano P; amano AP; PPL; glycerol-ester hydrolase; GEH; meito Sangyo OF lipase; hepatic lipase; lipazin; post-heparin plasma protamine-resistant lipase; salt-resistant post-heparin lipase; heparin releasable hepatic lipase; amano CES; amano B; tributyrase; triglyceride lipase; liver lipase; hepatic monoacylglycerol acyltransferase; PNLIP (gene name); LIPF (gene name)
I1RDA9,3,0.9984909296035768,1,0.7542996406555176,1,0.9938754439353944,3.1.1.3,1.0,3.1.1.3,triacylglycerol lipase,lipase (ambiguous); butyrinase; tributyrinase; Tween hydrolase; steapsin; triacetinase; tributyrin esterase; Tweenase; amno N-AP; Takedo 1969-4-9; Meito MY 30; Tweenesterase; GA 56; capalase L; triglyceride hydrolase; triolein hydrolase; tween-hydrolyzing esterase; amano CE; cacordase; triglyceridase; triacylglycerol ester hydrolase; amano P; amano AP; PPL; glycerol-ester hydrolase; GEH; meito Sangyo OF lipase; hepatic lipase; lipazin; post-heparin plasma protamine-resistant lipase; salt-resistant post-heparin lipase; heparin releasable hepatic lipase; amano CES; amano B; tributyrase; triglyceride lipase; liver lipase; hepatic monoacylglycerol acyltransferase; PNLIP (gene name); LIPF (gene name)
Q9P451,3,0.997215986251831,1,0.8801301121711731,1,0.9863935112953186,3.1.1.73,1.0,3.1.1.73,feruloyl esterase,ferulic acid esterase; hydroxycinnamoyl esterase; hemicellulase accessory enzyme; FAE-III; cinnamoyl ester hydrolase; FAEA; cinnAE; FAE-I; FAE-II
P0DX85,3,0.9983295798301696,1,0.7330763339996338,1,0.9897043108940125,3.1.1.32,1.0,3.1.1.32,phospholipase A1,
E5D8F2,3,0.9959545135498048,1,0.5889152884483337,1,0.465108722448349,3.1.1.4,1.0,3.1.1.4,phospholipase A2,lecithinase A; phosphatidase; phosphatidolipase; phospholipase A
A6K136,3,0.9989137649536132,1,0.8904301524162292,3,0.9841477870941162,3.1.3.16,1.0,3.1.3.16,protein-serine/threonine phosphatase,phosphoprotein phosphatase (ambiguous); protein phosphatase-1; protein phosphatase-2A; protein phosphatase-2B; protein phosphatase-2C; protein D phosphatase; phosphospectrin phosphatase; casein phosphatase; Aspergillus awamori acid protein phosphatase; calcineurin; phosphatase 2A; phosphatase 2B; phosphatase II; phosphatase IB; phosphatase C-II; polycation modulated (PCM-) phosphatase; phosphopyruvate dehydrogenase phosphatase; phosphatase SP; branched-chain alpha-keto acid dehydrogenase phosphatase; BCKDH phosphatase; 3-hydroxy 3-methylglutaryl coenzymeA reductase phosphatase; HMG-CoA reductase phosphatase; phosphatase H-II; phosphatase III; phosphatase I; protein phosphatase; phosphatase IV; phosphoprotein phosphohydrolase
Q4J8L0,3,0.9959723353385924,1,0.9221381545066832,21,0.9939170479774476,3.1.21.10,1.0,3.1.21.10,crossover junction endodeoxyribonuclease,Hje endonuclease; Holliday junction endonuclease CCE1; Holliday junction resolvase; Holliday junction-cleaving endonuclease; Holliday junction-resolving endoribonuclease; RusA Holliday junction resolvase; RusA endonuclease; RuvC endonuclease; SpCCe1 Holliday junction resolvase; crossover junction endoribonuclease; cruciform-cutting endonuclease; endo X3; endonuclease RuvC; endonuclease VII; endonuclease X3; resolving enzyme CCE1
Q4J834,3,0.996606707572937,1,0.974856734275818,21,0.9961400628089904,3.1.21.10,1.0,3.1.21.10,crossover junction endodeoxyribonuclease,Hje endonuclease; Holliday junction endonuclease CCE1; Holliday junction resolvase; Holliday junction-cleaving endonuclease; Holliday junction-resolving endoribonuclease; RusA Holliday junction resolvase; RusA endonuclease; RuvC endonuclease; SpCCe1 Holliday junction resolvase; crossover junction endoribonuclease; cruciform-cutting endonuclease; endo X3; endonuclease RuvC; endonuclease VII; endonuclease X3; resolving enzyme CCE1
F0NEL5,3,0.9964497089385986,1,0.9345272183418274,21,0.9940316081047058,3.1.21.10,1.0,3.1.21.10,crossover junction endodeoxyribonuclease,Hje endonuclease; Holliday junction endonuclease CCE1; Holliday junction resolvase; Holliday junction-cleaving endonuclease; Holliday junction-resolving endoribonuclease; RusA Holliday junction resolvase; RusA endonuclease; RuvC endonuclease; SpCCe1 Holliday junction resolvase; crossover junction endoribonuclease; cruciform-cutting endonuclease; endo X3; endonuclease RuvC; endonuclease VII; endonuclease X3; resolving enzyme CCE1
A0A1D8PJA8,3,0.9985030889511108,2,0.9318386316299438,1,0.9383082389831544,3.2.1.39,1.0,3.2.1.39,"glucan endo-1,3-beta-D-glucosidase","endo-1,3-beta-glucanase; laminarinase; laminaranase; oligo-1,3-glucosidase; endo-1,3-beta-glucanase; callase; beta-1,3-glucanase; kitalase; 1,3-beta-D-glucan 3-glucanohydrolase; endo-(1,3)-beta-D-glucanase; (1->3)-beta-glucan 3-glucanohydrolase; endo-1,3-beta-D-glucanase; endo-1,3-beta-glucosidase; 1,3-beta-D-glucan glucanohydrolase"
A0A2R8QP51,3,0.998993456363678,4,0.7563594579696655,0,0.97407329082489,3.4.14.5,1.0,3.4.14.5,dipeptidyl-peptidase IV,dipeptidyl aminopeptidase IV; Xaa-Pro-dipeptidyl-aminopeptidase; Gly-Pro naphthylamidase; postproline dipeptidyl aminopeptidase IV; lymphocyte antigen CD26; glycoprotein GP110; dipeptidyl peptidase IV; glycylproline aminopeptidase; X-prolyl dipeptidyl aminopeptidase; pep X; leukocyte antigen CD26; glycylprolyl dipeptidylaminopeptidase; dipeptidyl-peptide hydrolase; glycylprolyl aminopeptidase; dipeptidyl-aminopeptidase IV; DPP IV/CD26; amino acyl-prolyl dipeptidyl aminopeptidase; T cell triggering molecule Tp103; X-PDAP
F8VPU6,3,0.9990155696868896,4,0.6445111632347107,19,0.9866315722465516,3.4.19.12,1.0,3.4.19.12,ubiquitinyl hydrolase 1,ubiquitin C-terminal hydrolase; yeast ubiquitin hydrolase
F0NID4,3,0.9655774831771852,6,0.7423672676086426,1,0.3569943606853485,3.6.1.15,1.0,3.6.1.15,nucleoside-triphosphate phosphatase,nucleoside-triphosphatase; nucleoside triphosphate phosphohydrolase; nucleoside-5-triphosphate phosphohydrolase; nucleoside 5-triphosphatase; unspecific diphosphate phosphohydrolase
Q4J8K8,3,0.9683112502098083,6,0.6770814657211304,4,0.3892775774002075,3.6.4.12,1.0,3.6.4.12,DNA helicase,3' to 5' DNA helicase; 3'-5' DNA helicase; 3'-5' PfDH; 5' to 3' DNA helicase; AvDH1; BACH1 helicase; BcMCM; BLM protein; BRCA1-associated C-terminal helicase; CeWRN-1; Dbp9p; DmRECQ5; DNA helicase 120; DNA helicase A; DNA helicase E; DNA helicase II; DNA helicase III; DNA helicase RECQL5beta; DNA helicase VI; dnaB (gene name); DnaB helicase E1; helicase HDH IV; Hel E; helicase DnaB; helicase domain of bacteriophage T7 gene 4 protein helicase; PcrA helicase; UvrD; hHcsA; Hmi1p; hPif1; MCM helicase; MCM protein; MER3 helicase; MER3 protein; MPH1; PcrA; PDH120; PfDH A; Pfh1p; PIF1 
Q8IBN8,3,0.9993064403533936,6,0.6309068202972412,4,0.9410539865493774,3.6.4.13,1.0,3.6.4.13,RNA helicase,CSFV NS3 helicase; DBP2; DbpA; DDX17; DDX25; DDX3; DDX3X; DDX3Y; DDX4; DDX5; DEAD-box protein DED1; DEAD-box RNA helicase; DEAH-box protein 2; DEAH-box RNA helicase; DED1; Dex(H/D) RNA helicase; EhDEAD1; EhDEAD1 RNA helicase; eIF4A helicase; KOKV helicase; Mtr4p; nonstructural protein 3 helicase; NPH-II; RHA; RNA helicase A; RNA helicase DDX3; RNA helicase Hera; RNA-dependent ATPase; TGBp1 NTPase/helicase domain; VRH1; GRTH/DDX25
Q9V3I2,3,0.9978700876235962,6,0.9275639057159424,5,0.9895473718643188,3.6.5.2,1.0,3.6.5.2,small monomeric GTPase,
O76742,3,0.9985948204994202,6,0.8815733194351196,5,0.9915546774864196,3.6.5.2,1.0,3.6.5.2,small monomeric GTPase,
Q7S8A6,6,0.9975733160972596,3,0.9903950095176696,4,0.968683898448944,6.3.4.16,1.0,6.3.4.16,carbamoyl-phosphate synthase (ammonia),"carbon-dioxide---ammonia ligase; carbamoylphosphate synthase; carbamylphosphate synthetase; carbamoylphosphate synthase (ammonia); carbamoylphosphate synthetase; carbamylphosphate synthetase I; CPSI (gene name); carbon-dioxide:ammonia ligase (ADP-forming, carbamate-phosphorylating)"
A0A1D8PJ73,7,0.9983605742454528,1,0.8213207721710205,1,0.9010456800460817,7.1.1.2,1.0,7.1.1.2,NADH:ubiquinone reductase (H+-translocating),ubiquinone reductase (ambiguous); type 1 dehydrogenase; complex 1 dehydrogenase; coenzyme Q reductase (ambiguous); complex I (electron transport chain); complex I (mitochondrial electron transport); complex I (NADH:Q1 oxidoreductase); dihydronicotinamide adenine dinucleotide-coenzyme Q reductase (ambiguous); DPNH-coenzyme Q reductase (ambiguous); DPNH-ubiquinone reductase (ambiguous); mitochondrial electron transport complex 1; mitochondrial electron transport complex I; NADH coenzyme Q1 reductase; NADH-coenzyme Q oxidoreductase (ambiguous); NADH-coenzyme Q reductase (ambiguous); NADH-CoQ oxidoreductase (ambiguous); NADH-dehydrogenase (ubiquinone) (ambiguous); NADH-CoQ reductase (ambiguous); NADH-ubiquinone reductase (ambiguous); NADH-ubiquinone oxidoreductase (ambiguous); NADH-ubiquinone-1 reductase; reduced nicotinamide adenine dinucleotide-coenzyme Q reductase (ambiguous); NADH:ubiquinone oxidoreductase complex; NADH-Q6 oxidoreductase (ambiguous); electron transfer complex I; NADH2 dehydrogenase (ubiquinone)
A0A1D8PU51,7,0.9992596507072448,1,0.7554593086242676,1,0.8261082768440247,7.1.1.2,1.0,7.1.1.2,NADH:ubiquinone reductase (H+-translocating),ubiquinone reductase (ambiguous); type 1 dehydrogenase; complex 1 dehydrogenase; coenzyme Q reductase (ambiguous); complex I (electron transport chain); complex I (mitochondrial electron transport); complex I (NADH:Q1 oxidoreductase); dihydronicotinamide adenine dinucleotide-coenzyme Q reductase (ambiguous); DPNH-coenzyme Q reductase (ambiguous); DPNH-ubiquinone reductase (ambiguous); mitochondrial electron transport complex 1; mitochondrial electron transport complex I; NADH coenzyme Q1 reductase; NADH-coenzyme Q oxidoreductase (ambiguous); NADH-coenzyme Q reductase (ambiguous); NADH-CoQ oxidoreductase (ambiguous); NADH-dehydrogenase (ubiquinone) (ambiguous); NADH-CoQ reductase (ambiguous); NADH-ubiquinone reductase (ambiguous); NADH-ubiquinone oxidoreductase (ambiguous); NADH-ubiquinone-1 reductase; reduced nicotinamide adenine dinucleotide-coenzyme Q reductase (ambiguous); NADH:ubiquinone oxidoreductase complex; NADH-Q6 oxidoreductase (ambiguous); electron transfer complex I; NADH2 dehydrogenase (ubiquinone)
A0A1D8PJX3,7,0.9992751479148864,1,0.7327910661697388,1,0.8170706629753113,7.1.1.8,1.0,7.1.1.8,quinol---cytochrome-c reductase,ubiquinol---cytochrome-c reductase; coenzyme Q-cytochrome c reductase; dihydrocoenzyme Q-cytochrome c reductase; reduced ubiquinone-cytochrome c reductase; complex III (mitochondrial electron transport); ubiquinone-cytochrome c reductase; ubiquinol-cytochrome c oxidoreductase; reduced coenzyme Q-cytochrome c reductase; ubiquinone-cytochrome c oxidoreductase; reduced ubiquinone-cytochrome c oxidoreductase; mitochondrial electron transport complex III; ubiquinol-cytochrome c-2 oxidoreductase; ubiquinone-cytochrome b-c1 oxidoreductase; ubiquinol-cytochrome c2 reductase; ubiquinol-cytochrome c1 oxidoreductase; CoQH2-cytochrome c oxidoreductase; ubihydroquinol:cytochrome c oxidoreductase; coenzyme QH2-cytochrome c reductase; QH2:cytochrome c oxidoreductase; ubiquinol:ferricytochrome-c oxidoreductase
A0A1D8PHA3,7,0.9984272718429564,1,0.7837316989898682,1,0.779240608215332,7.1.1.8,1.0,7.1.1.8,quinol---cytochrome-c reductase,ubiquinol---cytochrome-c reductase; coenzyme Q-cytochrome c reductase; dihydrocoenzyme Q-cytochrome c reductase; reduced ubiquinone-cytochrome c reductase; complex III (mitochondrial electron transport); ubiquinone-cytochrome c reductase; ubiquinol-cytochrome c oxidoreductase; reduced coenzyme Q-cytochrome c reductase; ubiquinone-cytochrome c oxidoreductase; reduced ubiquinone-cytochrome c oxidoreductase; mitochondrial electron transport complex III; ubiquinol-cytochrome c-2 oxidoreductase; ubiquinone-cytochrome b-c1 oxidoreductase; ubiquinol-cytochrome c2 reductase; ubiquinol-cytochrome c1 oxidoreductase; CoQH2-cytochrome c oxidoreductase; ubihydroquinol:cytochrome c oxidoreductase; coenzyme QH2-cytochrome c reductase; QH2:cytochrome c oxidoreductase; ubiquinol:ferricytochrome-c oxidoreductase
Q50LE9,1,0.9884651899337769,0,0.2798398733139038,1.21.4.2,1.0,0,0.0,1.21.4.2,glycine reductase,
W8X092,1,0.9159519076347352,3,0.9493955969810486,1.3.99.28,1.0,0,0.0,1.3.99.28,phytoene desaturase (neurosporene-forming),3-step phytoene desaturase; three-step phytoene desaturase; phytoene desaturase (ambiguous); CrtI (ambiguous)
W8X9R6,1,0.8718268275260925,3,0.9226611256599426,1.3.99.39,1.0,0,0.0,1.3.99.39,carotenoid phi-ring synthase,crtU (gene name) (ambiguous)
A3SI50,1,0.9956654906272888,3,0.9976106882095336,1.3.99.41,1.0,0,0.0,1.3.99.41,3-(methylsulfanyl)propanoyl-CoA 2-dehydrogenase,dmdC (gene name)
Q50LF2,1,0.9932987093925476,5,0.9918640851974488,1.5.3.24,1.0,0,0.0,1.5.3.24,"sarcosine oxidase (5,10-methylenetetrahydrofolate-forming)",TSOX; sarcosine oxidase (ambigious); heterotetrameric sarcosine oxidase
Q50LF0,1,0.9940775632858276,5,0.9756627678871156,1.5.3.24,1.0,0,0.0,1.5.3.24,"sarcosine oxidase (5,10-methylenetetrahydrofolate-forming)",TSOX; sarcosine oxidase (ambigious); heterotetrameric sarcosine oxidase
A0A1D8PT03,1,0.9970757961273192,6,0.9432719349861144,1.6.5.2,1.0,0,0.0,1.6.5.2,NAD(P)H dehydrogenase (quinone),"menadione reductase; phylloquinone reductase; quinone reductase; dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone); DT-diaphorase; flavoprotein NAD(P)H-quinone reductase; menadione oxidoreductase; NAD(P)H dehydrogenase; NAD(P)H menadione reductase; NAD(P)H-quinone dehydrogenase; NAD(P)H-quinone oxidoreductase; NAD(P)H: (quinone-acceptor)oxidoreductase; NAD(P)H: menadione oxidoreductase; NADH-menadione reductase; naphthoquinone reductase; p-benzoquinone reductase; reduced NAD(P)H dehydrogenase; viologen accepting pyridine nucleotide oxidoreductase; vitamin K reductase; diaphorase; reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase; vitamin-K reductase; NAD(P)H2 dehydrogenase (quinone); NQO1; QR1; NAD(P)H:(quinone-acceptor) oxidoreductase"
Q59Y37,1,0.9980087876319884,6,0.9822288751602172,1.6.5.2,1.0,0,0.0,1.6.5.2,NAD(P)H dehydrogenase (quinone),"menadione reductase; phylloquinone reductase; quinone reductase; dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone); DT-diaphorase; flavoprotein NAD(P)H-quinone reductase; menadione oxidoreductase; NAD(P)H dehydrogenase; NAD(P)H menadione reductase; NAD(P)H-quinone dehydrogenase; NAD(P)H-quinone oxidoreductase; NAD(P)H: (quinone-acceptor)oxidoreductase; NAD(P)H: menadione oxidoreductase; NADH-menadione reductase; naphthoquinone reductase; p-benzoquinone reductase; reduced NAD(P)H dehydrogenase; viologen accepting pyridine nucleotide oxidoreductase; vitamin K reductase; diaphorase; reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase; vitamin-K reductase; NAD(P)H2 dehydrogenase (quinone); NQO1; QR1; NAD(P)H:(quinone-acceptor) oxidoreductase"
A0A1D8PHR5,1,0.9976969361305236,6,0.993642032146454,1.6.5.2,1.0,0,0.0,1.6.5.2,NAD(P)H dehydrogenase (quinone),"menadione reductase; phylloquinone reductase; quinone reductase; dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone); DT-diaphorase; flavoprotein NAD(P)H-quinone reductase; menadione oxidoreductase; NAD(P)H dehydrogenase; NAD(P)H menadione reductase; NAD(P)H-quinone dehydrogenase; NAD(P)H-quinone oxidoreductase; NAD(P)H: (quinone-acceptor)oxidoreductase; NAD(P)H: menadione oxidoreductase; NADH-menadione reductase; naphthoquinone reductase; p-benzoquinone reductase; reduced NAD(P)H dehydrogenase; viologen accepting pyridine nucleotide oxidoreductase; vitamin K reductase; diaphorase; reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase; vitamin-K reductase; NAD(P)H2 dehydrogenase (quinone); NQO1; QR1; NAD(P)H:(quinone-acceptor) oxidoreductase"
A0A1D8PT02,1,0.9971392154693604,6,0.9868034720420836,1.6.5.2,1.0,0,0.0,1.6.5.2,NAD(P)H dehydrogenase (quinone),"menadione reductase; phylloquinone reductase; quinone reductase; dehydrogenase, reduced nicotinamide adenine dinucleotide (phosphate, quinone); DT-diaphorase; flavoprotein NAD(P)H-quinone reductase; menadione oxidoreductase; NAD(P)H dehydrogenase; NAD(P)H menadione reductase; NAD(P)H-quinone dehydrogenase; NAD(P)H-quinone oxidoreductase; NAD(P)H: (quinone-acceptor)oxidoreductase; NAD(P)H: menadione oxidoreductase; NADH-menadione reductase; naphthoquinone reductase; p-benzoquinone reductase; reduced NAD(P)H dehydrogenase; viologen accepting pyridine nucleotide oxidoreductase; vitamin K reductase; diaphorase; reduced nicotinamide-adenine dinucleotide (phosphate) dehydrogenase; vitamin-K reductase; NAD(P)H2 dehydrogenase (quinone); NQO1; QR1; NAD(P)H:(quinone-acceptor) oxidoreductase"
F1N206,1,0.9970205426216124,8,0.9891936182975768,1.8.1.4,1.0,0,0.0,1.8.1.4,dihydrolipoyl dehydrogenase,LDP-Glc; LDP-Val; dehydrolipoate dehydrogenase; diaphorase; dihydrolipoamide dehydrogenase; dihydrolipoamide:NAD+ oxidoreductase; dihydrolipoic dehydrogenase; dihydrothioctic dehydrogenase; lipoamide dehydrogenase (NADH); lipoamide oxidoreductase (NADH); lipoamide reductase; lipoamide reductase (NADH); lipoate dehydrogenase; lipoic acid dehydrogenase; lipoyl dehydrogenase; protein-6-N-(dihydrolipoyl)lysine:NAD+ oxidoreductase
Q50LF1,1,0.9968959093093872,8,0.1387955844402313,1.8.4.12,1.0,0,0.0,1.8.4.12,peptide-methionine (R)-S-oxide reductase,MsrB; methionine sulfoxide reductase (ambiguous); pMSR; methionine S-oxide reductase (ambiguous); selenoprotein R; methionine S-oxide reductase (R-form oxidizing); methionine sulfoxide reductase B; SelR; SelX; PilB; pRMsr
A0A2I2F2J6,1,0.990453839302063,13,0.6410909295082092,1.13.11.49,1.0,0,0.0,1.13.11.49,chlorite O2-lyase,
A0A2I2F2I5,2,0.9973838925361632,2,0.9899144172668456,2.2.1.6,1.0,0,0.0,2.2.1.6,acetolactate synthase,alpha-acetohydroxy acid synthetase; alpha-acetohydroxyacid synthase; alpha-acetolactate synthase; alpha-acetolactate synthetase; acetohydroxy acid synthetase; acetohydroxyacid synthase; acetolactate pyruvate-lyase (carboxylating); acetolactic synthetase
A0A8M1N5Y4,5,0.9994555115699768,3,0.992438018321991,5.3.4.1,1.0,0,0.0,5.3.4.1,protein disulfide-isomerase,S-S rearrangase
