Accession,Label,ECRECer_result,FEDKEA_result,DeepEC_result
A8P0V4,1,1,1,1
A8PUY1,1,1,1,1
A9FDB7,1,1,1,1
A9JTM7,0,0,0,0
B0M0W2,0,0,0,0
B1AYL1,0,0,0,0
B1NY81,0,0,0,0
B3DIG4,0,0,0,1
B3VBK9,0,0,0,0
B4EZY7,0,0,0,0
B6T5Z6,0,0,0,0
B7Z0E2,0,0,0,0
B7Z0L8,0,0,0,0
B8A5S6,0,0,0,0
B8NLZ3,1,1,1,1
C0HM96,0,0,0,0
C0HMB0,1,1,1,1
C1DMX5,1,1,1,1
C1G1C3,1,1,1,1
C1L7Y4,0,0,0,0
C4QH88,0,0,0,1
C4R2L0,0,0,0,1
C4R941,1,1,1,0
C5AXV8,1,1,1,1
C5B120,1,1,1,1
C5B164,0,0,0,0
C5I9W9,0,0,0,0
C5MR76,1,0,1,1
C7BG48,0,0,0,1
D0C8Z9,1,1,1,1
D0RB01,1,1,1,1
D1A230,1,0,0,0
D3YUJ3,0,0,0,0
D3Z649,0,0,0,0
D3ZDM7,1,1,1,1
D3ZID8,0,0,0,0
D4A1X2,1,1,1,0
D4A4L4,0,0,0,0
D4A6Z8,0,0,0,1
D4ADX7,0,0,0,0
D4GSD6,1,1,1,1
D4QD81,1,0,0,0
D6WIX5,0,0,0,0
D9X0I3,1,1,1,1
E0D202,1,1,1,1
E0D207,1,1,1,1
E1AZ71,0,0,0,0
E1BF86,0,0,0,0
E1CG36,1,0,1,1
E2RTQ2,0,0,0,1
E2RU10,0,0,0,0
E5D8F2,1,1,1,1
E6Y8B9,1,1,1,0
E7F654,1,1,1,0
E7FHH1,1,1,1,1
E9DVV4,0,0,0,0
E9EFJ1,1,0,0,1
E9Q238,0,0,0,0
E9Q9F7,0,0,0,0
E9Q9H8,0,0,0,0
E9QSG0,1,1,1,0
E9R5S0,1,0,1,0
F0NHH1,1,0,0,0
F0NID4,1,0,0,1
F1LQQ7,0,0,0,0
F1M928,0,0,0,1
F1N206,1,1,1,1
F1Q749,1,1,1,1
F1QB30,1,1,1,1
F1QWW8,1,1,1,1
F1SVH1,1,1,1,1
F4JP43,0,0,0,0
F4KAV2,1,1,1,1
F7IW82,0,0,0,0
F8JK18,1,1,1,1
F8RL29,1,1,0,1
F8VPJ6,0,0,0,0
F8W463,0,0,0,0
F9VNG5,1,1,1,1
F9XHX3,0,0,0,1
G0R6T8,1,1,1,1
G0RBE3,1,1,1,1
G0RYR3,1,0,0,1
G0S1P8,1,1,1,1
G0SDW4,1,1,1,1
G0SGC7,1,1,1,1
G0SHW7,1,1,1,1
G1CRV4,1,1,1,1
G1SK22,0,0,0,0
G1SPE9,1,1,1,1
G1TLT8,0,0,0,0
G1TNM3,1,1,1,1
G1TZ76,0,0,0,0
G2QAB5,1,1,1,1
G2WS87,1,0,0,1
G3CJR9,0,0,0,0
G3LSH3,0,0,0,0
G3MZY8,1,1,1,1
G3UW82,0,0,0,0
G3UYQ4,1,0,1,1
G3V8R8,0,0,0,0
G3X8Y1,1,1,0,1
G3XAP7,1,1,1,1
G3XCW3,1,0,0,0
G4V9S0,1,1,1,1
G4VJD5,1,1,1,1
G4VQX9,1,1,1,0
G4Z2L3,1,1,1,1
G5E845,0,0,0,0
G5EB74,1,0,1,1
G7KGT0,0,0,0,0
G8JYB2,0,0,0,0
H1AE14,1,1,1,1
H2MCM1,0,0,0,0
H6C7U6,1,1,1,1
H6CAN5,1,0,0,1
I0AIT9,1,1,1,1
I0JWN7,1,1,1,1
I1LJI1,1,0,1,0
I1RE84,1,0,0,1
I3SL57,1,1,1,1
I5AX50,1,0,1,1
I6YBQ3,0,0,0,0
I6YHB0,0,0,0,0
J9SQF3,0,0,0,0
J9VPM2,1,1,1,1
J9VQZ9,1,0,1,1
J9VS02,1,1,1,1
J9VTB0,0,0,0,0
J9VUY6,1,1,1,1
K5B8L6,0,0,0,1
K9L4P7,1,1,1,1
M4QN28,1,1,1,1
M5AAG8,1,1,1,1
M9PF61,1,1,1,1
N0A3C0,1,1,1,1
O13281,1,0,1,1
O15902,0,0,0,0
O24022,1,1,1,1
O27271,1,1,1,1
O29889,1,1,1,1
O45879,0,0,0,0
O49570,0,0,0,1
O51076,0,0,0,0
O53443,1,1,1,1
O53611,1,1,1,1
O54581,0,0,1,1
O58802,1,1,1,1
O64768,1,1,0,1
O65680,0,0,0,0
O76742,1,0,0,1
O77310,0,0,0,1
O77389,0,0,0,0
O87489,1,1,1,1
P0DO67,1,1,1,1
P0DO76,1,1,1,1
P0DO78,1,1,1,1
P0DRC8,1,0,0,0
P0DX54,1,1,1,1
P0DX82,1,0,1,1
P0DX84,1,1,1,1
P0DX85,1,1,1,1
P0DX86,1,1,1,1
P0DX87,1,0,0,1
P0DX93,0,0,0,1
P0DX98,1,0,1,0
P0DXA3,1,1,1,0
P0DXA6,1,0,1,0
P0DXB1,0,0,0,1
P0DXD2,1,1,1,1
P0DXE0,1,1,1,1
P0DXE5,1,1,1,1
P0DXF1,1,1,1,1
P0DXF8,0,0,0,1
P0DXI0,0,0,0,0
P0DXI6,1,1,1,0
P0DXN6,0,0,0,0
P0DXN7,0,0,0,0
P0DXN8,1,0,1,1
P0DXU9,1,1,1,1
P0DXV0,1,1,1,1
P71420,1,1,1,1
P74535,1,1,1,1
P77908,1,1,1,1
P97995,1,0,1,1
P9WEI6,1,1,1,1
P9WEM3,1,1,1,1
Q09HD0,1,1,1,1
Q0E9H9,0,0,0,1
Q0ZQ43,1,1,1,1
Q10L01,1,1,1,1
Q177W0,0,0,0,0
Q18264,0,0,0,1
Q1AYM8,1,1,1,1
Q1CVJ4,0,0,0,0
Q1D3H3,0,0,0,0
Q1HRL7,0,0,0,0
Q1K8B6,1,1,1,1
Q1LZ24,0,0,0,0
Q1MWN4,1,1,1,1
Q1NEI7,1,1,1,1
Q2FXS9,1,0,1,0
Q2R560,1,1,1,1
Q2TR58,1,1,1,1
Q388N2,1,1,1,1
Q3C1F3,1,0,1,0
Q3C1F4,1,0,1,0
Q3C1F6,0,0,0,0
Q3C1F7,0,0,0,0
Q3TBV4,0,0,0,0
Q3U1C4,0,0,0,0
Q3UL53,0,0,0,0
Q42785,1,0,1,0
Q47720,1,1,1,1
Q48434,1,1,1,1
Q48769,0,0,0,0
Q4J9L0,1,0,0,1
Q4W1X2,1,1,1,1
Q4WBI4,1,1,1,1
Q4WIN1,0,0,0,0
Q4WP32,1,1,1,1
Q4WTC0,0,0,0,0
Q4WTH5,1,1,1,1
Q4WV44,1,1,1,1
Q4WWR8,1,1,1,1
Q4X0H6,1,0,0,1
Q4X1A8,1,1,1,1
Q4X241,1,0,1,1
Q50LE9,1,1,1,0
Q50LF0,1,1,1,1
Q50LF1,1,1,1,1
Q50LF2,1,1,1,1
Q54795,1,1,1,1
Q55131,1,1,1,1
Q57UP6,1,1,1,1
Q57UP7,1,1,1,0
Q57UP8,1,1,1,1
Q57X51,1,1,1,0
Q584D1,1,0,1,1
Q58T34,1,1,1,1
Q59127,1,1,1,1
Q59128,1,1,1,1
Q59Y37,1,0,0,1
Q5ACU9,0,0,0,0
Q5ALM0,1,1,1,1
Q5F676,1,1,1,1
Q5F6V8,1,1,1,1
Q5JH24,1,1,1,1
Q5JHC6,1,1,1,1
Q5JHM5,1,1,1,1
Q5JIW4,1,1,1,1
Q5KPK7,1,1,1,1
Q5MIU2,0,0,0,0
Q5MIZ1,0,0,0,0
Q5TVM9,1,1,1,1
Q5U117,1,1,1,0
Q5U7L7,1,1,1,1
Q5VSE6,0,0,0,0
Q5XVM9,1,1,1,0
Q66I42,0,0,0,0
Q68SP4,0,0,0,0
Q6D291,1,1,1,1
Q6DFZ1,0,0,0,0
Q6F4N4,1,1,1,1
Q6IDA6,0,0,0,0
Q6J4Q1,0,0,0,0
Q6K461,1,1,1,1
Q6LZD5,1,0,1,1
Q6PC72,0,0,0,0
Q6PMV1,1,1,1,1
Q6XEC0,1,1,1,1
Q6XV80,0,0,0,0
Q6Y7T6,1,1,1,1
Q6YNE9,1,1,1,1
Q6ZXT2,0,0,0,0
Q6ZXT3,0,0,0,0
Q70KH6,1,1,1,1
Q70X92,0,0,0,0
Q73MU2,1,1,1,1
Q75WF1,1,1,1,1
Q79FC3,1,0,0,0
Q7CPF5,1,1,1,1
Q7CQM5,0,0,0,0
Q7K6A5,1,0,0,1
Q7KLI1,0,0,0,0
Q7KWJ5,0,0,0,0
Q7PL76,0,0,0,1
Q7PNF2,0,0,0,0
Q7S439,1,1,1,1
Q7S4I4,0,0,0,0
Q7S8A6,1,1,1,1
Q7S9V5,1,1,1,1
Q7SH52,1,1,1,1
Q7SHI8,1,1,1,1
Q7X2D3,1,1,1,1
Q7Y3F1,1,0,1,1
Q7Y3F3,0,0,0,0
Q7YT37,0,0,0,0
Q80J95,1,1,1,1
Q834B6,0,0,0,0
Q837L8,1,1,1,0
Q83YH3,1,0,1,1
Q840P9,1,1,1,1
Q86ME6,0,0,0,0
Q887C9,0,0,1,1
Q88CZ8,0,0,0,1
Q88JH0,1,1,1,1
Q88JH5,1,1,1,1
Q89Y83,1,1,1,1
Q8B3M2,1,1,1,1
Q8BUW1,0,0,0,0
Q8DMY4,1,0,1,0
Q8DN88,0,0,0,0
Q8DPI6,1,1,1,1
Q8E8P8,1,1,1,0
Q8E8S0,1,0,0,1
Q8EG04,1,0,1,1
Q8GB88,1,1,1,1
Q8GJM5,1,0,0,0
Q8GJM6,0,0,0,1
Q8I060,0,0,0,1
Q8I0U8,0,0,0,0
Q8I395,0,0,0,0
Q8I5I0,0,0,0,0
Q8I6U4,1,1,1,1
Q8I6U5,1,1,1,1
Q8I8I2,1,1,1,1
Q8IAX8,0,0,0,0
Q8IBT4,1,1,1,0
Q8IDH9,1,1,1,1
Q8IDQ9,1,1,1,1
Q8II36,0,0,0,1
Q8IIL0,1,1,1,1
Q8ILW0,1,0,0,1
Q8IPW2,0,0,0,0
Q8IQG9,1,1,1,1
Q8ISM1,0,0,0,0
Q8KN66,1,1,1,1
Q8KSA6,1,1,1,1
Q8LDU1,1,0,1,1
Q8MUM2,0,0,0,0
Q8NKB0,1,1,1,1
Q8RR56,1,1,1,1
Q8RWI0,0,0,0,0
Q8RXP7,0,0,0,0
Q8SD18,1,1,1,1
Q8SX81,0,0,0,1
Q8T0Q4,0,0,0,0
Q8T117,0,0,0,0
Q8TGV2,1,0,0,1
Q8TYK7,1,1,1,0
Q8VHG5,0,0,0,0
Q8YMD9,1,1,1,1
Q8ZL97,0,0,0,0
Q8ZL98,1,1,1,0
Q8ZPA3,0,0,0,0
Q8ZPP5,1,1,1,1
Q90YL6,0,0,0,0
Q90Z37,0,0,0,0
Q91VE2,0,0,0,0
Q93227,1,1,1,0
Q93F76,1,1,1,1
Q93NH5,1,1,1,1
Q93Z30,1,1,1,1
Q95P65,1,1,1,1
Q95QV8,0,0,0,0
Q969B0,0,0,0,0
Q970I2,1,1,1,1
Q97V23,1,1,1,0
Q99KD6,0,0,0,0
Q99YA0,0,0,1,1
Q9AHE8,1,1,1,1
Q9C589,0,0,0,0
Q9ER33,0,0,0,0
Q9FCY7,0,0,1,1
Q9FGB1,1,1,1,1
Q9GTP4,0,0,0,0
Q9HGY3,1,1,1,1
Q9HUT5,0,0,0,1
Q9HWJ2,1,1,1,1
Q9HY79,1,1,1,1
Q9HY80,0,0,0,0
Q9JN36,1,0,1,1
Q9KJY7,1,1,1,1
Q9KN86,1,1,1,0
Q9KUL5,1,1,1,1
Q9L4P2,1,1,1,1
Q9LCC6,1,1,1,1
Q9LKZ1,1,1,1,1
Q9NBV4,0,0,0,1
Q9NJS1,0,0,0,0
Q9P8G2,0,0,0,0
Q9PTF3,1,1,1,1
Q9PVF7,0,0,0,0
Q9PVF8,0,0,0,0
Q9Q2N9,1,1,1,1
Q9RHD7,1,1,1,1
Q9RMT4,1,1,1,1
Q9SAJ2,1,1,1,1
Q9SSA4,1,1,1,1
Q9V0P0,1,0,1,1
Q9V3I2,1,0,1,1
Q9V3V0,0,0,0,0
Q9V9M8,0,0,0,0
Q9V9N4,0,0,0,0
Q9VCT9,1,1,1,1
Q9VDE4,0,0,0,0
Q9VDG1,0,0,0,0
Q9VDG5,0,0,0,0
Q9VEA2,0,0,0,1
Q9VF14,1,0,1,0
Q9VFF3,1,1,1,0
Q9VFW4,0,0,0,0
Q9VGA4,0,0,0,1
Q9VGU6,1,1,1,1
Q9VHC5,1,1,1,1
Q9VHG1,0,0,0,0
Q9VII1,0,0,0,0
Q9VII3,0,0,0,0
Q9VKA0,0,0,0,0
Q9VMK3,0,0,0,0
Q9VPR7,0,0,0,1
Q9VQQ0,1,1,1,1
Q9VR38,0,0,0,0
Q9VRX1,0,0,0,0
Q9VT00,0,1,0,1
Q9VTM6,0,0,0,1
Q9VTZ2,0,0,0,0
Q9VU77,1,1,1,1
Q9VWC6,0,0,0,0
Q9VZ21,0,0,0,0
Q9W0M3,1,1,1,0
Q9W2R3,1,1,1,0
Q9W3T7,0,0,0,0
Q9W413,1,1,1,0
Q9WAF5,1,1,1,1
Q9WY48,1,1,1,1
Q9X1X0,1,1,1,1
Q9X482,1,1,1,1
Q9X4C9,1,1,1,1
Q9XVI2,0,0,0,0
Q9Y795,1,1,1,1
Q9YA51,1,0,1,1
S4S6Z0,1,1,1,1
S4VGD0,0,0,0,0
S5UH55,0,0,0,0
T2HG31,1,1,1,1
U6BYK3,1,1,1,1
V5ILS6,1,1,1,1
W2SDE2,0,0,0,0
W7FI62,0,0,0,0
W8X092,1,1,1,1
W8X9R6,1,1,1,1
A0A059WGE7,1,1,1,1
A0A059ZRB8,0,0,0,0
A0A067MTM1,1,1,1,1
A0A072TK64,1,0,0,0
A0A081HJP9,1,1,1,1
A0A085GHR3,1,1,1,1
A0A087WRI3,0,0,0,0
A0A087WRU1,0,0,0,0
A0A089MMR2,1,1,1,1
A0A095CCB2,1,1,1,1
A0A0A2JC26,1,1,1,1
A0A0A2JP37,1,1,1,1
A0A0A2K2F6,1,1,1,1
A0A0A8X0K1,1,1,1,1
A0A0C1E3B7,1,1,1,1
A0A0C1E3C9,1,1,1,1
A0A0D1CLQ4,1,0,1,1
A0A0D1DZT6,0,0,0,1
A0A0D1E921,0,1,0,0
A0A0E0RQ52,1,1,1,1
A0A0E0RU58,1,1,1,1
A0A0E0RX65,0,0,0,0
A0A0E0S977,1,1,1,1
A0A0E3USC3,1,0,1,0
A0A0F5HSE8,1,1,1,1
A0A0F6AK91,1,1,1,1
A0A0F6BAH8,0,0,0,0
A0A0F6BAH9,1,1,1,1
A0A0F6NRE2,1,1,1,1
A0A0F7TWW9,1,1,1,1
A0A0H2US70,1,0,1,0
A0A0H2X6L3,1,1,1,1
A0A0H2ZM82,0,1,1,1
A0A0H3GGB5,0,0,0,0
A0A0H3GPN8,1,1,1,1
A0A0H4K9X4,1,1,1,1
A0A0J9UR41,1,1,1,1
A0A0J9UR47,1,0,1,1
A0A0J9VGQ5,1,1,1,1
A0A0J9VPT0,1,1,1,1
A0A0J9XK58,1,0,1,1
A0A0J9XKT0,1,1,1,0
A0A0J9XL55,1,0,1,0
A0A0K8P8V5,0,0,0,0
A0A0K8RCY5,0,0,0,0
A0A0M2H8P8,1,1,1,1
A0A0M2HFA3,1,1,1,1
A0A0M3VI47,1,1,1,1
A0A0P0UTI6,0,0,0,0
A0A0P0UTJ1,0,0,0,0
A0A0R0H9T5,1,1,1,1
A0A0R0HW51,0,0,0,0
A0A0S2CHA9,1,1,1,1
A0A125YSC7,0,0,0,0
A0A126P745,1,1,1,1
A0A139AVY4,1,0,1,1
A0A140LI67,0,0,0,1
A0A172QE52,1,1,1,1
A0A1C3KYI2,0,0,0,0
A0A1C3YIF8,1,0,1,1
A0A1C3YMT2,1,1,1,1
A0A1C9CXI0,1,1,1,1
A0A1C9CXI1,1,1,1,1
A0A1C9ZP88,1,1,1,1
A0A1D3TGZ2,0,0,0,0
A0A1D5NVS8,1,0,1,0
A0A1D8PDB5,0,0,0,1
A0A1D8PFE5,0,0,0,1
A0A1D8PFP9,0,0,0,0
A0A1D8PHA2,0,0,0,0
A0A1D8PHR5,1,1,1,1
A0A1D8PJ73,1,1,1,0
A0A1D8PLP3,0,0,0,0
A0A1D8PMR6,0,0,0,0
A0A1D8PP59,0,0,0,1
A0A1D8PT02,1,0,1,1
A0A1D8PU51,1,1,1,1
A0A1G4GWI6,0,0,0,0
A0A1I1NU16,1,0,0,1
A0A1L7VFX3,1,1,1,1
A0A1L8ENT6,0,0,0,0
A0A1L8GLK3,1,1,1,1
A0A1L9WQI2,1,1,1,1
A0A1M6T2I7,1,0,0,1
A0A1R3RM75,1,1,1,1
A0A1S4F0I0,0,0,0,1
A0A1S4F1Z7,0,0,0,0
A0A1S4F2V5,1,1,1,1
A0A1S4FGH1,0,0,0,1
A0A1S4GGP7,0,0,0,1
A0A1S4GMU2,0,0,0,0
A0A1S4K3K8,0,0,0,0
A0A1V0QSF3,1,1,1,1
A0A1V0QSF4,1,1,1,0
A0A1V0QSF6,1,1,1,1
A0A1V0QSF9,1,1,1,1
A0A1V0QSG6,1,1,1,1
A0A1V0QSH7,1,1,1,1
A0A1W6IZJ5,0,0,0,1
A0A1W6IZK1,0,0,0,1
A0A1X7S147,0,0,0,1
A0A1X7S1V5,0,0,0,0
A0A1Y2IY60,1,0,1,1
A0A1Y9G8H0,1,1,1,1
A0A223GEC9,1,1,1,1
A0A242M8J4,1,1,1,1
A0A2B4SES9,0,0,0,0
A0A2C9VBV6,0,0,0,0
A0A2G0QDP0,1,1,1,1
A0A2H1A5W4,0,0,0,0
A0A2I1CSG1,1,1,1,1
A0A2I2F2N6,1,1,1,1
A0A2I6QAZ5,1,0,1,1
A0A2I6QB00,1,0,1,1
A0A2P1AAV1,0,0,0,1
A0A2R2JFW7,1,1,1,1
A0A2R8QHQ6,0,0,0,0
A0A2R8QP51,1,1,1,1
A0A2U7QU15,1,1,1,1
A0A2U7R6V5,1,1,1,1
A0A2V0R8Q9,1,1,1,1
A0A2V0R8Y2,1,1,1,1
A0A2Z5U3C2,1,1,1,1
A0A2Z5U507,1,0,1,1
A0A2Z5U6I9,1,1,1,1
A0A2Z5UHX0,1,1,1,1
A0A346CIA0,0,0,0,0
A0A346CIB3,0,0,0,0
A0A384JJB6,1,0,1,1
A0A385MIS5,0,1,1,1
A0A3G2S5J6,1,1,1,1
A0A3Q0KHE7,1,1,1,1
A0A455ZJD4,1,1,1,1
A0A481NSZ4,0,0,0,1
A0A482WD11,1,0,1,1
A0A498JQK2,1,1,1,0
A0A4P1QUJ3,1,1,1,1
A0A4P9I8G4,0,0,1,0
A0A4Y5QZ62,1,1,1,1
A0A509AF62,1,1,1,0
A0A509APV9,1,1,1,1
A0A509AT60,0,0,0,0
A0A509AUY5,0,0,0,0
A0A509AYF4,0,0,0,0
A0A516F411,1,1,1,1
A0A516RTC5,1,1,1,1
A0A5A4WIX0,1,1,1,1
A0A5A4WIZ7,1,1,1,1
A0A5B9G902,0,0,0,0
A0A5F9D2E6,0,0,0,0
A0A5J6BJN2,1,1,1,1
A0A5J6BJT3,1,1,1,1
A0A5N6UV50,1,1,1,1
A0A5N6UX39,1,1,1,1
A0A5N6V703,1,1,1,1
A0A644F0T7,0,0,0,1
A0A678XMK4,0,0,0,1
A0A679KXN5,0,0,0,0
A0A6A6H402,1,0,1,0
A0A6C0M6J9,1,1,1,0
A0A6G9KHE4,0,0,0,0
A0A6I8TBG6,0,1,0,1
A0A6I8TMQ9,0,0,0,0
A0A6J1SUS3,1,0,1,0
A0A728KSL7,1,1,1,1
A0A7C9FSB8,1,1,1,1
A0A7J6F8C5,1,1,1,1
A0A7J6HWR9,1,1,1,1
A0A7J6K144,0,0,0,1
A0A7J6K2G0,0,0,0,1
A0A7J6K629,0,0,0,0
A0A7J6KC99,0,0,1,1
A0A7J6KE60,0,0,0,0
A0A7U2MMF3,1,1,1,1
A0A805Z5R7,1,1,1,1
A0A829NF98,1,1,1,1
A0A853PXE5,1,1,1,0
A0A8C0N7E5,0,0,0,0
A0A8D5M3Y5,1,1,1,1
A0A8H4CUY8,1,1,1,1
A0A8I6A2H6,0,0,0,0
A0A8I6AGW3,1,0,1,1
A0A8I6B1J2,0,0,0,0
A0A8I6GJ95,1,1,1,1
A0A8J1M587,1,1,1,1
A0A8M1N5Y4,1,1,1,1
A0A8M2B818,0,0,0,0
A0A8M9Q308,0,0,0,0
A0A8R9YVA6,1,1,1,1
A0A8U0WQF3,0,0,0,1
A0A8U1C2Y4,0,0,0,1
A0A8X6EH27,0,0,0,1
A0A974CYQ5,1,1,1,1
A0A974E306,0,0,0,0
A0A9P5GG56,1,1,1,1
A0AAN4PAE6,1,1,1,1
A0AAN4PBA1,1,1,1,1
A0AAT9JA24,1,1,1,1
A0QVQ9,0,0,0,0
A1ZA77,0,0,0,0
A2QHC2,1,1,1,1
A2QNG6,1,1,1,1
A2QQV0,1,1,1,1
A2QRA0,1,1,1,1
A2QTJ1,1,1,1,1
A2R0Z5,1,1,1,1
A2R2G5,1,1,1,1
A2VD68,1,1,1,1
A2Y6J9,1,0,1,0
A3BK75,1,1,1,1
A3DM02,1,0,1,1
A3FMN3,1,1,1,1
A3MUS8,1,1,1,1
A4DA41,1,1,1,1
A4XXY9,1,1,1,1
A4ZFB3,0,0,0,0
A5HKP3,1,1,1,1
A5U3S4,1,1,1,1
A6K136,1,1,1,1
A7B555,1,1,1,1
A7GKX7,1,1,1,1
A8B1U4,0,0,0,1
A8B296,0,0,0,0
A8B976,0,0,0,0
A8B9C5,0,0,0,0
A8BAF1,0,0,0,1
A8BE61,0,0,0,0
A8BER9,0,0,0,0
A8BGV3,0,0,0,0
A8BJ15,0,0,0,1
A8BJ87,0,0,0,1
A8BS40,0,0,0,0
A8CEI3,1,1,1,1
A8JR92,0,0,0,0
A8PUY5,1,1,1,1
A8PX35,1,1,1,1
A8Q7G1,0,1,1,1
A8Q9M3,1,1,1,1
A8QCW4,1,1,1,1
A8QDF0,1,1,1,1
B0CPC6,0,0,0,0
B0JYH6,0,0,0,0
B0X4T2,1,1,1,1
B0XAA1,1,1,1,1
B0XQY0,1,1,1,0
B0XWK4,1,1,1,1
B0XWK7,1,1,1,1
B0XWK8,1,1,1,1
B0XZV0,1,1,1,1
B0XZV6,1,1,1,1
B0XZV7,1,1,1,1
B0Y6Z7,1,0,0,1
B1KN79,1,1,1,1
B1KN80,1,0,0,0
B2ADG1,1,1,1,0
B2ARG6,1,1,1,1
B2ATL7,1,1,1,1
B2AVF1,1,0,1,1
B2B629,1,1,1,1
B2DEV5,1,1,1,1
B2DEW1,1,1,1,1
B4ER92,1,0,1,1
B4ER95,1,0,1,1
B4ER96,1,1,1,1
B4ER97,1,1,1,1
B5DFF2,0,0,0,0
B5M0W4,0,0,0,0
B6EP94,1,1,1,1
B6H999,1,1,1,1
