Entry,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
WP_063340417,3.2.2.3,3.2.2.3,3.2.2.3,3.2.-.-,
WP_057713727,1.1.1.46;1.1.1.48,1.1.1.47,1.1.1.119,1.1.1.159,
WP_057714593,4.3.1.9,4.1.1.20,4.3.1.27;4.1.2.42,4.1.1.18,
WP_057714718,1.3.8.1,1.3.8.1,1.3.1.95,1.3.99.-,1.3.8.1
WP_057715016,4.2.1.43,4.2.1.141,3.7.1.23,4.1.1.68,
WP_057715924,2.6.1.57,2.6.1.57,2.6.1.57;2.6.1.107,2.6.1.57,
WP_057712751,1.2.1.54,1.2.1.5,1.2.1.3;1.2.1.39,1.2.1.3,1.2.1.54
WP_053163627,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_054594340,1.3.8.7,1.3.99.41,1.3.8.8;1.3.8.7,1.3.8.8,
WP_054594385,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.45,
WP_054594536,2.6.1.19,2.6.1.113,2.6.1.113,2.6.-.-,
WP_054594538,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_054595050,1.2.1.16,1.2.1.24,1.2.1.24,1.2.1.79,1.2.1.16
WP_054595192,3.5.1.68,3.5.1.68,3.5.1.28,2.7.2.-,1.13.11.39
WP_054596267,2.6.1.57,2.6.1.57,2.6.1.107;2.6.1.57,2.6.1.57,2.6.1.5;2.6.1.57
WP_054596656,3.2.2.3;3.2.2.7,3.2.2.3,3.2.2.3,3.2.-.-,
WP_054596807,4.3.1.9,4.1.1.20,4.3.1.27,4.1.1.18,
WP_054597481,3.5.3.6,3.5.3.18,3.5.3.6,3.5.3.-,
WP_054597487,4.2.1.17,3.1.2.4,3.1.2.4,4.2.1.17,
WP_054597488,1.3.8.1,1.3.8.1,1.3.1.95,1.3.99.-,1.3.8.1
WP_054597490,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1
WP_054597491,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9
WP_054598124,3.5.1.94,3.5.1.94,3.5.1.94,6.3.5.2,
WP_060738105,4.3.1.9,4.1.1.20,4.3.1.27,4.1.1.18,
WP_060738180,3.2.2.3;3.2.2.7,3.2.2.3,3.2.2.3,3.2.-.-,
WP_060739584,3.5.1.68,3.5.1.68,3.5.1.28,2.7.2.-,
WP_060739768,2.6.1.39,2.6.1.48,2.6.1.48,2.6.1.19,2.6.1.19
WP_060739786,2.8.3.13,2.8.3.19,5.1.99.4;2.8.3.26;2.8.3.19;2.8.3.13,1.2.1.8,
WP_060740066,1.2.1.54,1.2.1.5,1.2.1.3,1.2.1.3,1.2.1.54
WP_025216023,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_060740154,3.5.1.94,3.5.1.94,3.5.1.94,6.3.5.2,
WP_060740156,2.6.1.19,2.6.1.113,2.6.1.113,2.6.-.-,
WP_060740275,1.1.1.108,4.2.1.119,3.1.2.21,3.1.-.-,
WP_060740332,1.3.8.7,1.3.99.41,1.3.8.8;1.3.8.7,1.3.8.8,1.3.8.1;1.3.8.7;1.3.8.8
WP_060740336,1.3.8.7,1.3.99.41,1.3.8.8;1.3.8.7,1.3.8.8,
WP_060740343,3.5.1.30,3.5.1.20,3.5.1.30,3.5.1.-,3.5.1.4
WP_060740344,1.13.12.2,1.4.3.23,1.13.12.2,1.13.12.3,1.4.3.2
WP_060741122,3.5.2.5,3.5.1.n3,3.1.1.72,3.4.-.-,
WP_060741123,3.5.2.17,3.5.2.17,3.5.2.17,3.5.2.17,3.5.2.17
WP_060741243,3.1.1.15;3.1.1.25,3.1.1.99,3.1.1.99;3.1.1.15,3.1.1.17,
WP_060741244,1.1.1.46,1.1.1.47,1.1.1.119;1.1.1.413,1.3.1.34,
WP_060741475,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.16;2.3.1.9
WP_060741734,1.2.1.18,1.2.1.27,1.2.1.27,1.2.1.27,1.2.1.27
WP_060741989,4.2.1.25,4.2.1.25,4.2.1.25,4.2.1.9,
WP_060741991,4.2.1.43,4.2.1.141,2.6.1.114,4.1.1.68,
WP_063321224,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1
WP_063321988,4.3.1.9,4.1.1.20,4.3.1.27,4.1.1.18,
WP_063322430,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.1;2.6.1.27
WP_063323808,1.2.1.54,1.2.1.5,1.2.1.3,1.2.1.3,1.2.1.54
WP_014340747,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_086936699,3.5.1.94,3.5.1.94,3.5.1.94,6.3.5.2,
WP_063323898,2.6.1.19,2.6.1.113,2.6.1.113,2.6.-.-,
WP_063324030,1.1.1.108,4.2.1.55,3.1.2.21,3.1.-.-,
WP_063324031,1.1.1.108,1.1.1.108,1.1.1.108,1.1.1.45,
WP_063320678,1.2.1.18,1.2.1.27,1.2.1.27,1.2.1.27,1.2.1.27
WP_063324926,1.1.1.46;1.1.1.48,1.1.1.47,1.1.1.119,1.1.1.159,
WP_063320756,4.2.1.43,4.2.1.141,2.6.1.114,4.1.1.68,
WP_003280093,2.8.3.8,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5
WP_003294550,2.8.3.8,2.8.3.5,2.8.3.5,2.8.3.5,2.8.3.5
WP_015277224,1.3.8.1,1.3.8.1,1.3.1.95,1.3.99.-,1.3.8.1
WP_015277229,1.3.8.1,1.3.8.1,1.3.8.1;1.3.1.95,1.3.8.1,1.3.8.1
WP_015278222,3.7.1.2,3.7.1.2,3.7.1.2,4.1.1.68,
WP_015278495,1.1.3.15,1.1.99.14,1.1.99.14,1.8.98.1,
WP_015278496,1.1.3.15,1.1.99.14,1.1.99.14,2.7.7.42,
WP_015278497,1.1.3.15,1.1.99.14,1.1.99.14,3.4.11.5,
WP_015275423,1.3.8.7,1.3.99.41,1.3.8.8,1.3.8.8,
WP_015275719,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.1;2.6.1.27;2.6.1.57
WP_011864920,2.7.1.59,2.7.1.8,2.7.1.8,2.7.1.59,
WP_011758678,5.3.1.7,5.3.1.7,5.3.1.7,5.3.1.31,
WP_011758911,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,
WP_011759060,2.7.1.59,2.7.1.8,2.7.1.8,2.7.1.59,
WP_011759520,2.7.1.2,2.7.1.4,2.7.1.4,2.7.1.59,
WP_011760212,3.1.3.5,3.1.3.5,3.1.3.23,3.1.3.-,3.1.3.5
WP_011760344,2.7.1.2,2.7.1.4,2.7.1.4,2.7.1.59,1.8.7.1
WP_011760751,2.6.1.19,2.6.1.113,2.6.1.113,2.6.-.-,2.6.1.62
WP_011760753,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,
NP_436855,1.1.99.13,4.2.1.8,1.14.13.244,3.-.-.-,
NP_436856,1.1.99.13,1.1.1.361,1.1.1.424,1.-.-.-,
NP_437724,4.2.1.25,4.2.1.25,4.2.1.25;4.2.1.67,4.2.1.9,
NP_437725,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.3,
NP_437726,4.2.1.43,4.2.1.141,3.7.1.23,4.1.1.68,
NP_437227,5.1.3.29,5.1.3.32,5.1.3.32,5.1.3.32,
NP_437228,1.1.1.122,1.1.1.420,1.1.1.420,1.3.1.24,
NP_437370,3.5.1.68,3.5.1.68,3.5.1.28,3.4.19.-,
NP_437491,2.7.1.144,5.1.3.40,5.1.3.40,2.1.2.5,
NP_437492,2.7.1.101,2.7.1.101,2.7.1.101,2.7.1.-,
NP_385263,1.1.1.46;1.1.1.48,1.1.1.48,1.1.1.376;1.1.1.48;1.1.1.120,1.3.1.24,
NP_384832,1.2.1.18,1.2.1.27,1.2.1.27,1.2.1.27,
NP_384883,1.1.3.15,1.1.99.14,1.1.99.14,3.4.11.5,
NP_384884,1.1.3.15,1.3.1.98,1.1.99.14,3.4.11.23,
NP_384885,1.1.3.15,1.1.99.14,1.1.99.14,1.8.98.1,
NP_384521,3.2.2.3,3.2.2.8,3.2.2.3,3.2.-.-,
NP_384734,4.1.2.19;1.2.1.22,1.1.1.108,4.1.2.19,1.-.-.-,
NP_384124,4.2.1.5,4.2.1.7,4.2.1.7,4.2.1.7,
NP_384306,2.7.1.59,2.7.1.8,2.7.1.8,3.1.3.68,
NP_384741,2.7.1.5,2.7.1.16,2.7.1.16,2.7.1.14,
WP_038453112,1.2.1.18,1.2.1.27,1.2.1.27,1.2.1.27,
WP_010211220,4.2.1.25,4.2.1.25,4.2.1.25;4.2.1.67,4.2.1.9,
WP_010211217,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.4,1.2.1.26
WP_010211216,3.1.1.15,3.1.1.99,3.1.1.99;3.1.1.15;3.1.1.68,3.1.1.17,
WP_010211099,1.1.1.14,1.1.1.304,1.1.1.16,1.1.1.140,1.1.1.14
WP_010210955,4.3.1.9,4.1.1.20,4.3.1.27;4.1.2.42,4.1.1.18,
WP_010210414,3.1.2.4,3.1.2.4,3.1.2.4,4.2.1.17,
WP_010210413,1.3.8.1,1.3.8.1,1.3.1.95,1.3.8.1,
WP_010210411,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1,1.3.8.1
WP_010209382,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.271,
WP_010209327,3.5.3.6,3.5.3.18,3.5.3.6;3.5.3.18,3.5.3.-,
WP_010209291,1.1.1.9,1.1.1.287,1.1.1.301,1.1.1.103,
WP_010208316,2.6.1.81,2.6.1.11,2.6.1.11,2.6.1.17,2.6.1.11
WP_038453710,5.3.1.7,5.3.1.7,5.3.1.7,5.3.1.31,
WP_010206526,1.14.12.1,1.14.12.1,1.14.12.1,1.14.12.-,
WP_010207013,1.3.8.7,1.3.99.41,1.3.8.8,1.3.8.8,
WP_010207016,1.3.8.7,1.3.99.41,1.3.8.7;1.3.8.8,1.3.8.8,1.1.1.42;1.3.8.1;1.3.8.7;1.3.8.8
WP_010207340,2.6.1.19,2.6.1.113,2.6.1.113,2.6.-.-,
WP_010207341,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,
WP_010207491,1.2.1.54,1.2.1.5,1.2.1.3,1.2.1.3,1.2.1.19;1.2.1.54
WP_010207589,5.1.3.15,5.1.3.15,5.1.3.15,5.1.3.15,
WP_010213153,1.2.1.26,1.2.1.26,1.2.1.26,1.2.1.3,
