Accession,EC number,FEDKEA_result,CLEAN_result,ECRECer_result,DeepEC_result
A0A2H1K3G9,4.4.1.11;4.4.1.2,4.4.1.13,4.4.1.11;4.4.1.2,4.4.1.1,4.4.1.2
A0A2I2F2I5,2.2.1.6,2.2.1.6,2.2.1.6,2.2.1.6,EC number not predicted
A0A2R6W0K6,5.4.2.2,5.4.2.2,5.4.2.2,5.4.2.2,5.4.2.2
A0A2Z5GDY5,3.4.11.9,3.4.11.9,3.4.11.9,3.4.11.9,3.4.11.9
A0A3F2YLY8,1.1.2.10,1.1.2.7,1.1.2.7,1.1.2.7,1.1.2.10
A0A3Q0KGQ7,2.7.4.3,2.7.4.3,2.7.4.3,2.7.4.3,2.7.4.3
A0A3Q0KJ78,2.7.4.6,2.7.4.6,2.7.4.6,2.7.4.6,2.7.4.6
A0A3Q0KQY7,4.2.1.2,4.2.1.2,4.2.1.2,4.2.1.2,4.2.1.2
A0A482A9N4,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A499UB99,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3
A0A509AM03,3.4.21.62,3.4.21.75,3.4.21.62,3.4.21.-,3.4.21.62
A0A5R8T042,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
A0A649V088,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
A0A6C0PI29,3.1.1.73,3.1.1.73,3.1.1.73,3.1.1.73,3.1.1.73
A0A6N3IN21,4.3.1.17;4.3.1.19;5.1.1.3,4.3.1.17,4.3.1.17,4.3.1.17,4.3.1.17
A0A7E6FSU6,1.4.3.1,1.4.3.3,1.4.3.3,1.4.3.1,EC number not predicted
A0A7G5KET3,2.7.2.3,2.7.2.3,2.7.2.3,2.7.2.3,2.7.2.3
A0A7U2MSD6,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
A0A9E8G339,2.5.1.6,2.5.1.6,2.5.1.6,2.5.1.6,2.5.1.6
A1ZB29,2.7.4.9,2.7.4.9,2.7.4.9,2.7.4.9,2.7.4.9
A3MTR6,5.3.1.8;5.3.1.9,5.1.3.42,5.1.3.42,5.3.1.8,5.3.1.8
A3SI50,1.3.99.41,1.3.99.41,1.3.8.1;1.3.8.7;1.3.8.8,1.3.8.8,EC number not predicted
A5FBJ5,3.2.1.216,3.2.1.133,2.4.1.279,3.2.1.45,EC number not predicted
A5U229,5.6.2.3,3.6.4.12,2.7.13.3;3.6.4.12,3.6.4.12,3.6.4.12
A6HD62,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27
A6TGC5,5.6.2.4,3.6.4.12,3.1.26.4,3.6.4.-,EC number not predicted
A8BPK8,2.7.11.21,2.7.11.21,2.7.11.21,2.7.11.21,2.7.11.1
A8NCG7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A9FDB7,1.14.15.19,1.14.15.13,1.14.13.189,1.14.-.-,EC number not predicted
B8NLZ3,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
C0HMB0,1.4.3.1,1.4.3.3,1.4.3.3,1.4.3.3,EC number not predicted
C1DMX5,1.1.1.378,1.1.1.173,1.1.1.391,1.3.1.34,EC number not predicted
C1G1C3,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3
C4R941,2.4.1.186,2.4.1.186,2.4.1.186,2.4.1.186,EC number not predicted
C5B120,1.1.2.10,1.1.2.7,1.1.2.7,1.1.2.7,1.1.2.10
C5MR76,5.4.99.14,1.14.14.18,1.14.14.169,5.1.3.32,1.5.1.36
D0C8Z9,3.4.16.4,3.4.16.4,3.4.16.4,3.4.16.4,2.4.1.129
D0RB01,3.4.19.12,3.4.19.12,3.4.19.12,3.4.19.12,3.4.19.12
D3ZDM7,1.4.3.1,1.4.3.1,1.4.3.1,1.4.3.1,1.4.3.1
D4GSD6,2.7.1.3,2.7.1.35,2.7.1.146,2.7.1.147,EC number not predicted
D9X0I3,4.2.1.3,4.2.1.3,4.2.1.99,4.2.1.99,4.2.1.3
E6Y8B9,3.4.21.62,3.4.21.62,3.4.21.62,3.4.21.-,EC number not predicted
E7F654,2.7.1.78,2.7.1.78,2.7.1.78,2.7.1.-,2.7.1.78
E7FHH1,1.97.1.13,1.2.7.5,1.2.7.5,1.2.7.5,EC number not predicted
E9QSG0,2.3.2.27,2.3.2.27,2.3.2.36;2.3.2.27,2.3.2.27,2.3.2.27
F0NID4,3.6.4.12,3.6.1.15,5.6.2.2,3.6.4.12,EC number not predicted
F1N206,1.8.1.4,1.8.1.4,1.8.1.4,1.8.1.4,1.8.1.4
F1QB30,2.3.2.36,2.3.2.36,2.3.2.36,2.3.2.27,2.3.2.27
F1QWW8,1.1.1.102,1.1.1.102,1.1.1.102,1.1.1.62,EC number not predicted
F4KAV2,1.14.11.51,1.14.11.53,1.14.11.33,1.14.11.-,EC number not predicted
F8JK18,4.2.3.225,4.2.3.158,4.2.3.193,4.2.3.22,EC number not predicted
F9VNG5,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3
G0R6T8,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
G0S1P8,1.11.1.24,1.11.1.24,1.11.1.25,1.11.1.15,1.11.1.24
G0SGC7,3.6.5.5,3.6.5.5,3.6.5.5,3.6.5.5,EC number not predicted
G1SPE9,2.3.1.42,2.3.1.42,2.3.1.42,2.3.1.42,EC number not predicted
G1TNM3,4.2.99.18,4.2.99.18,4.2.99.18,4.2.99.18,4.2.99.18
G2QAB5,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
G3X8Y1,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27
G3XAP7,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
G3XCW3,2.4.99.27,2.4.99.18,3.1.21.4,3.4.21.91,2.4.99.18
G4V9S0,2.7.4.3,2.7.4.3,2.7.4.14,2.7.4.6,2.7.4.3
G4VJD5,5.4.2.11,5.4.2.11,5.4.2.11;5.4.2.4,5.4.2.11,5.4.2.11
G4VQX9,4.3.2.2,4.3.2.2,4.3.2.2,4.3.2.2,4.3.2.2
G4Z2L3,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
H1AE14,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
I0AIT9,2.4.1.391,3.2.1.23,3.2.1.31,3.2.1.23,EC number not predicted
I0JWN7,1.1.2.10,1.1.2.7,1.1.2.7,1.1.9.1,1.1.2.10
I3SL57,1.14.14.18,1.14.14.18,1.14.14.18,1.14.14.18,1.14.14.18
J9VPM2,2.4.1.186,2.4.1.186,2.4.1.186,3.1.3.36,EC number not predicted
J9VUY6,6.3.5.2,6.3.5.2,6.3.5.2,6.3.5.2,6.3.5.2
K9L4P7,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4
M4QN28,2.4.1.371,2.4.1.345,4.2.3.38,5.1.-.-,EC number not predicted
M9PF61,1.1.1.21;1.1.1.300;1.1.1.372;1.1.1.54,1.1.1.263,1.1.1.21;1.1.1.54;1.1.1.372,1.1.1.239,1.1.1.21
O24022,3.4.11.1;3.4.11.5,3.4.11.23,3.4.11.5,3.4.11.1,3.4.11.1
O29889,5.6.2.4,3.6.4.12,3.6.1.15,3.6.4.12,EC number not predicted
O53611,1.1.1.42,1.1.1.42,2.8.4.1,2.8.4.1,1.1.1.42
O58802,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3,1.1.1.3
O76742,3.6.5.2,3.6.5.2,3.6.5.2,3.6.5.-,3.6.5.2
O87489,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,EC number not predicted
P0DO76,4.1.2.66,3.4.22.16,3.4.22.16,3.4.22.-,3.4.22.16
P0DO78,2.3.3.17,2.3.3.17,2.3.3.17,2.3.3.17,EC number not predicted
P0DX54,2.4.99.23,2.4.99.23,2.4.1.227,2.-.-.-,EC number not predicted
P0DX84,6.2.1.44,6.2.1.44,6.2.1.44,6.2.1.-,6.2.1.3
P0DX85,3.1.1.32,3.1.1.32,3.1.1.32;3.1.1.3;2.3.1.296;3.1.1.5,3.1.1.-,EC number not predicted
P0DXE0,1.1.1.226,1.1.1.245,1.1.1.163;1.1.1.245,1.-.-.-,1.1.1.53
P0DXE5,4.1.99.28,4.1.2.13,3.1.1.57,4.-.-.-,EC number not predicted
P0DXF1,5.6.2.4,3.6.4.12,3.6.1.15,3.6.4.12,EC number not predicted
P0DXN8,3.2.2.5,3.4.21.53,3.4.24.83,3.1.-.-,EC number not predicted
P0DXU9,1.14.14.154,1.14.14.154,1.14.14.154,1.14.13.70,1.14.14.154
P0DXV0,1.14.14.154,1.14.14.154,1.14.14.154,1.14.13.70,1.14.14.154
P71420,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
P74535,3.5.3.27;4.3.1.12,2.3.1.8,3.5.3.18;3.5.3.6,4.2.1.-,EC number not predicted
Q10L01,2.3.1.225,2.3.1.225,2.3.1.225,2.3.1.225,2.3.1.225
Q1AYM8,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.1,1.4.3.3
Q1K8B6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q1NEI7,3.7.1.26,3.7.1.23,4.3.2.3,4.1.1.68,EC number not predicted
Q2R560,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1
Q2TR58,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q388N2,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
Q47720,6.3.2.35,6.3.2.4,6.3.2.4,6.3.2.4,2.3.3.10
Q48434,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q4W1X2,5.4.99.9,1.14.13.9,5.4.99.9,1.1.5.4,5.4.99.9
Q4WP32,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q4WTH5,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16,3.1.3.16
Q4WWR8,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11
Q4X1A8,2.7.11.1,2.7.11.1,2.7.11.13;2.7.11.1,2.7.11.1,EC number not predicted
Q4X241,3.6.5.2,3.6.5.2,3.6.5.2,3.1.3.16,3.6.5.2
Q50LE9,1.5.3.24,1.21.4.2,1.5.3.1,1.5.3.1,1.5.3.1
Q50LF0,1.5.3.24,1.5.3.24,1.5.3.1,1.5.3.1,1.5.3.1
Q50LF1,1.5.3.24,1.8.4.12,1.5.3.1,1.5.3.1,1.5.3.1
Q50LF2,1.5.3.24,1.5.3.24,1.5.3.1,1.5.3.1,1.5.3.1
Q54795,1.14.19.46,1.14.19.46,1.14.19.3,1.14.19.3,1.14.19.3
Q55131,1.5.1.55,1.4.1.12,1.5.1.43,1.5.1.10,EC number not predicted
Q58T34,2.7.1.52;2.7.7.30,2.7.1.52,3.1.3.15,4.2.1.59,EC number not predicted
Q59127,1.5.99.4,1.5.99.14,1.5.99.14,1.2.5.3,EC number not predicted
Q59128,1.5.99.4,1.17.2.1,1.17.5.2,1.17.1.4,EC number not predicted
Q59Y37,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2
Q5ALM0,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11
Q5F6V8,5.6.2.4,3.6.4.12,3.1.26.4;5.6.2.1;2.3.1.193;3.1.12.1,3.6.4.-,EC number not predicted
Q5JHC6,2.3.1.193,2.3.1.193,2.3.1.193,3.1.-.-,EC number not predicted
Q5JIW4,3.5.1.1,3.5.1.1,3.5.1.1,6.3.5.-,3.5.1.1
Q5KPK7,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11,1.2.1.11
Q5TVM9,3.6.1.5,3.1.3.5,3.6.1.5;3.6.1.45,3.6.1.45,2.4.2.28
Q5U7L7,3.5.2.6,3.5.2.6,3.1.1.81;3.5.2.6,3.5.2.6,3.5.2.6
Q5XVM9,3.5.1.138,3.4.14.11,1.1.1.100;1.5.99.12,3.2.1.52,EC number not predicted
Q6D291,3.5.1.11,3.5.1.11,3.5.1.11,3.5.1.-,3.5.1.11
Q6F4N4,3.2.1.81,3.2.1.81,3.2.1.178,3.2.-.-,3.2.1.81
Q6K461,3.6.1.52,3.1.3.48,3.1.3.48,3.1.3.48,3.1.3.48
Q6XEC0,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q70KH6,1.14.15.37,1.14.15.13,1.14.14.133,1.14.-.-,1.14.14.1
Q73MU2,2.6.1.37;2.7.7.107,2.6.1.37,2.6.1.37,2.7.7.24,EC number not predicted
Q75WF1,1.4.3.1,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.1
Q79FC3,1.2.1.n2,3.2.1.55,1.11.2.1,3.5.1.-,EC number not predicted
Q7CPF5,2.7.1.229,2.7.1.15,2.7.1.15,2.7.1.15,EC number not predicted
Q7S439,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
Q7SHI8,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
Q7X2D3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.1,1.4.3.3
Q837L8,4.2.2.1;4.2.2.5,4.2.2.1,4.2.2.1,4.2.2.1,EC number not predicted
Q83YH3,1.14.15.9,1.14.15.9,1.14.15.9,1.14.15.9,EC number not predicted
Q840P9,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q88JH5,1.1.2.8,1.1.2.8,1.1.2.8,1.1.9.1,1.1.2.8
Q89Y83,2.7.7.85,2.7.7.65,2.7.7.65,2.7.7.-,EC number not predicted
Q8DPI6,2.7.7.15,2.7.7.15,2.7.7.103,2.7.7.40,2.7.7.15
Q8E8P8,1.17.99.9,1.17.99.9,1.17.99.9,1.3.-.-,EC number not predicted
Q8E8S0,7.1.1.8,1.7.2.2,1.7.2.2,1.-.-.-,7.1.1.8
Q8EG04,3.6.5.2,3.6.5.2,1.14.13.39,3.6.5.-,3.6.5.2
Q8I8I2,4.1.2.13,4.1.2.13,4.1.2.13,4.1.2.13,4.1.2.13
Q8IBT4,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7,EC number not predicted
Q8IDQ9,2.1.1.103,2.1.1.103,2.1.1.157,2.1.1.-,2.1.1.103
Q8IQG9,2.7.4.3,2.7.4.14,2.7.4.14,2.7.4.6,2.7.4.3
Q8KN66,5.1.3.45;5.1.3.7,5.1.3.7,5.1.3.2;5.1.3.7,5.1.3.2,5.1.3.7
Q8KSA6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q8RR56,3.4.21.123,3.4.21.101,3.4.14.10,3.1.1.-,EC number not predicted
Q8SD18,4.2.2.n1,4.2.2.n2,4.2.2.n2,4.2.2.-,3.2.1.17
Q8YMD9,3.5.3.27;4.3.1.12,2.3.1.8,3.5.3.6,1.7.99.1,EC number not predicted
Q8ZPP5,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3
Q93227,2.3.2.27,2.3.2.27,2.3.2.36,2.3.2.27,EC number not predicted
Q93F76,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q93NH5,1.5.99.4,1.2.5.3,1.17.5.2,1.-.-.-,EC number not predicted
Q93Z30,2.7.11.1,2.7.11.1,2.7.11.25,2.7.10.2,EC number not predicted
Q95P65,3.6.1.5,3.1.3.5,3.6.1.5;3.6.1.45,3.6.1.45,EC number not predicted
Q970I2,5.6.2.4,3.6.4.12,3.6.1.15,3.6.4.12,5.6.2.4
Q9AHE8,3.5.1.75,3.5.1.4,3.5.1.4,3.5.1.4,EC number not predicted
Q9FGB1,2.7.11.1,2.7.11.1,2.7.11.25,2.7.11.1,2.7.11.1
Q9HGY3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3
Q9HY79,1.16.3.1,1.16.3.1,1.16.3.1,1.16.3.1,1.16.3.1
Q9KJY7,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q9L4P2,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q9LCC6,4.3.1.1,4.2.1.2,4.3.1.1,4.3.1.1,EC number not predicted
Q9LKZ1,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24,2.7.11.24
Q9PTF3,2.7.4.6,2.7.4.6,2.7.4.6,2.7.13.3,2.7.4.6
Q9RHD7,1.1.1.136,1.1.1.136,1.1.1.136,1.2.1.12,EC number not predicted
Q9RMT4,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q9SSA4,2.7.11.1,2.7.11.1,2.7.11.25,2.7.11.25,2.7.11.1
Q9V3I2,3.6.5.2,3.6.5.2,3.6.5.2,2.7.10.2,3.6.5.2
Q9VCT9,3.4.19.12,3.4.19.12,3.4.19.12,3.4.19.12,3.4.19.12
Q9VGU6,2.7.4.10,2.7.4.3,2.7.4.3,2.7.4.10,EC number not predicted
Q9VHC5,1.14.11.65,1.14.11.65,1.14.11.27;2.7.1.127,1.14.11.-,EC number not predicted
Q9VQQ0,5.2.1.8,5.2.1.8,3.4.19.12,5.2.1.8,EC number not predicted
Q9W2R3,2.7.1.68,2.7.1.68,2.7.1.68,2.7.1.68,2.7.1.68
Q9W413,3.1.26.5,3.1.26.5,2.7.7.52,3.1.-.-,EC number not predicted
Q9WAF5,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18,3.2.1.18
Q9WY48,5.6.2.4,3.6.4.12,3.6.4.12,3.6.4.12,5.6.2.4
Q9X482,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6,3.5.2.6
Q9X4C9,5.6.2.3,3.6.4.12,3.6.4.12,3.6.4.12,3.6.4.12
Q9YA51,4.2.1.182,4.2.1.171,4.2.1.11,4.2.1.33,EC number not predicted
T2HG31,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.1,1.4.3.1
U6BYK3,4.3.3.8;4.4.1.13,4.4.1.13,4.4.1.1;4.4.1.13,2.6.1.44,EC number not predicted
V5ILS6,2.4.1.186,2.4.1.186,2.4.1.186,2.4.1.186,2.4.1.186
W8X092,1.17.99.8,1.3.99.28,1.1.1.400,1.1.5.4,2.2.1.1
W8X9R6,1.17.99.8,1.3.99.39,5.5.1.23,1.1.5.4,EC number not predicted
A0A089MMR2,2.4.1.392,2.4.1.321,2.4.1.280;2.4.1.321,3.2.1.45,EC number not predicted
A0A095CCB2,1.4.3.3,1.4.3.3,1.4.3.3,1.4.3.3,EC number not predicted
A0A0A2JC26,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4
A0A0A2K2F6,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4
A0A0E0S977,2.4.1.16,2.4.1.16,2.4.1.212;2.4.1.16,2.4.1.16,EC number not predicted
A0A0E3USC3,1.14.11.49,1.14.11.49,1.14.11.49,1.14.11.21,2.5.1.10
A0A0F5HSE8,1.4.1.20,1.4.1.20,1.4.1.20,1.4.1.20,EC number not predicted
A0A0F6AK91,1.1.1.94,1.1.1.94,1.1.1.94,1.1.1.94,EC number not predicted
A0A0F6NRE2,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55,3.2.1.55
A0A0F7TWW9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9,4.2.1.9
A0A0H2X6L3,6.3.5.1,6.3.5.1,6.3.5.1,6.3.5.1,6.3.5.1
A0A0H3GPN8,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3,2.7.13.3
A0A0H4K9X4,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A0J9UR41,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A0A0J9VPT0,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A0A0J9XK58,1.14.99.56,3.2.1.6,3.2.1.6,3.2.1.4,1.14.99.54
A0A0J9XL55,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.14,1.14.99.53
A0A0M2HFA3,1.1.3.50,1.1.3.10,1.1.3.10,5.3.3.1,EC number not predicted
A0A0M3VI47,4.4.1.13,4.4.1.13,4.4.1.1;4.4.1.2,4.4.1.1,4.4.1.13
A0A0R0H9T5,5.2.1.8,5.2.1.8,5.2.1.8,5.2.1.8,5.2.1.8
A0A126P745,3.3.2.10,3.3.2.10,3.8.1.3,3.1.-.-,EC number not predicted
A0A1C3YMT2,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16,2.4.1.16
A0A1C9CXI0,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.56
A0A1C9CXI1,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A1C9ZP88,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A1D5NVS8,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.-,EC number not predicted
A0A1D8PHR5,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2,3.4.16.4
A0A1D8PJ73,7.1.1.2,7.1.1.2,7.1.1.2;1.14.16.2,1.6.99.3,7.1.1.2
A0A1D8PT02,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2,1.6.5.2
A0A1D8PU51,7.1.1.2,7.1.1.2,1.7.5.1,1.6.99.3,2.7.7.6
A0A1L8GLK3,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27
A0A1R3RM75,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4,1.1.3.4
A0A1S4F2V5,3.4.22.15,3.4.22.15,3.4.22.15,3.4.22.-,3.4.22.15
A0A1V0QSF4,4.2.3.114;4.2.3.115,4.2.3.114,4.2.3.105;4.2.3.106,4.2.3.110,EC number not predicted
A0A1V0QSH7,2.5.1.1;2.5.1.10,2.5.1.10,2.5.1.1;2.5.1.10,2.5.1.1,2.5.1.1
A0A1Y2IY60,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,1.14.99.54
A0A223GEC9,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A242M8J4,3.3.2.10,3.3.2.10,3.3.2.10,3.3.2.10,3.1.1.1
A0A2R2JFW7,3.5.3.1,3.5.3.1,3.5.3.1,3.5.3.1,3.5.3.1
A0A2R8QP51,3.4.14.5,3.4.14.5,3.4.14.5,3.4.14.5,3.4.13.19
A0A2U7QU15,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
A0A2U7R6V5,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8,3.2.1.8
A0A2V0R8Q9,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10
A0A2V0R8Y2,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10,2.4.1.10
A0A384JJB6,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A3Q0KHE7,2.1.1.319,2.1.1.319,2.1.1.319,2.3.1.48,2.1.1.319
A0A482WD11,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
A0A498JQK2,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36,4.1.1.36
A0A509AF62,2.8.1.7,2.8.1.7,2.8.1.7,2.8.1.7,EC number not predicted
A0A516RTC5,3.2.1.222;3.2.1.81,3.2.1.178,3.2.1.81,3.4.24.-,EC number not predicted
A0A5A4WIX0,1.1.1.42,1.1.1.42,1.1.1.42,1.1.1.42,1.1.1.42
A0A5A4WIZ7,1.1.1.42,1.1.1.42,2.8.4.1,2.8.4.1,1.1.1.42
A0A5J6BJN2,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A5J6BJT3,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5N6UV50,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5N6UX39,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A5N6V703,1.14.99.56,3.2.1.4,3.2.1.4,3.2.1.4,EC number not predicted
A0A6C0M6J9,1.14.99.56,3.2.1.4,3.2.1.4,1.15.1.1,1.14.99.54
A0A6J1SUS3,2.7.7.86,2.7.7.86,2.7.7.86,2.7.7.-,EC number not predicted
A0A7C9FSB8,5.3.3.2,5.3.3.2,5.3.3.2,5.3.3.2,5.3.3.2
A0A7J6F8C5,1.17.7.4,1.17.7.4,1.17.7.4,2.1.1.282,1.17.7.4
A0A7J6HWR9,2.5.1.1;2.5.1.10,2.5.1.10,2.5.1.1;2.5.1.10,2.5.1.1,2.5.1.10
A0A7U2MMF3,1.1.1.1,1.1.1.1,1.1.1.4,1.1.1.1,EC number not predicted
A0A8H4CUY8,2.5.1.158;4.2.3.213,4.2.3.135,2.5.1.81;2.5.1.29,2.5.1.1,EC number not predicted
A0A8I6GJ95,1.1.1.122,1.1.1.62,1.1.1.62,1.1.1.-,1.1.1.300
A0A8M1N5Y4,5.3.4.1,5.3.4.1,5.3.4.1,5.3.4.1,EC number not predicted
A0A974CYQ5,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27,2.3.2.27
